"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11",0.383016754231689,7.56713132602651e-05,0.0044310128902324,0.0795809915085739,0.0636485200151082,0.00106344309365578,0.409425591057474,0.0042537723746231,0.000265860773413944,8.8620257804648e-05,8.8620257804648e-05,3.80787482544597e-07,5.31721546827888e-05,8.8620257804648e-05,7.03512416900656e-07,1.36715080343757e-06,2.65860773413944e-05,0.000659016314371375,0.000887658923460091,0.0254783241188363,2.79675672767203e-07,5.31721546827888e-05,1.57666734769899e-07,2.47718036020148e-06,6.93682652009056e-08,8.8620257804648e-06,5.49811361303439e-07,7.77803977087756e-06,8.07311408233433e-07,7.37638074873264e-08,3.59714049503886e-08,2.04559622376897e-06,1.89647393295726e-05,4.64195196300565e-08,3.98418456572189e-06,1.77240515609296e-05,3.52846714948369e-06,0.022784268281575,0.00211802416153109,2.06970673822531e-05,8.8620257804648e-06,0.000658346875293603,1.77930662928726e-05,5.31721546827888e-05,2.12182415764884e-07,4.26121575287126e-06,8.8620257804648e-06,4.01608145760156e-07,4.63546094270163e-08,8.8620257804648e-06,2.36076565051178e-07,3.57483037404542e-08,3.77784866205299e-07,0.000319032928096733,6.5503233606529e-05,1.9166020981102e-06,3.31123688990906e-07,0.000584893701510677,8.8620257804648e-05
"12",0.38351450734127,7.52473434573423e-05,0.00422993941920518,0.0777515739492652,0.0632919112908176,0.00124254470439152,0.418235260073912,0.00414181568130507,0.000793113641100971,0.000176247475800216,8.81237379001079e-05,3.78654013638426e-07,4.04295418785462e-06,7.84301267310961e-05,6.9957079083529e-07,1.35949095677011e-06,8.90165817505749e-06,0.000655323990227799,0.000924418010572132,0.0237317226164991,2.78108711196738e-07,6.05139701048121e-05,1.56783362569949e-07,2.46330126092503e-06,6.89796099964535e-08,5.64387594183396e-06,5.46730888605749e-07,7.73446111673893e-06,8.02788219142359e-07,7.33505250216756e-08,3.57698650429838e-08,0.000110154672375135,1.8858484046697e-05,4.61594412233076e-08,3.96186205178154e-06,1.76247475800216e-05,3.50869792046501e-06,0.0170431309098809,0.00202772720908148,2.05811062445237e-05,3.26057830230399e-05,0.000654658301870632,2.99620708860367e-05,6.08053791510745e-05,2.10993604138395e-07,4.23734109383445e-06,1.67435102010205e-05,3.99358023235858e-07,4.60948946979255e-08,7.96492691028465e-07,2.34753879736927e-07,3.55480138202894e-08,4.05369194340497e-05,0.000255558839910313,6.51362333280027e-05,1.90586379611956e-06,3.29268475448071e-07,0.00054724841235967,1.90751365560996e-05
"13",0.384043159540155,7.62676107036587e-05,0.00341197029895898,0.0807350773096603,0.0641500766569264,0.00112809384491759,0.408382476463358,0.00426049694398805,0.000371679169653374,0.000125289469666773,5.68825121909762e-05,3.83788125622334e-07,4.09777198668581e-06,1.3076242192869e-05,7.09056164425568e-07,8.66390363871783e-07,4.76961293100549e-06,0.000664209428201218,0.00110969421450959,0.025922935598609,2.81879544769224e-07,6.1334469790326e-05,2.23296485533965e-08,2.49670078679342e-06,6.99148940013029e-08,4.71155584476666e-06,5.54143929286848e-07,7.83933149465187e-06,1.78637188427172e-07,7.43450735962994e-08,1.33977891320379e-08,4.10865533382495e-07,1.91320428805501e-05,2.67955782640758e-08,4.01558033471532e-06,1.70930284871827e-06,1.98287279154161e-06,0.0215088106725736,0.00218026688475363,2.08601623231765e-05,2.76244460747269e-06,0.000663534713877208,1.79332774175835e-05,8.31645430722698e-05,2.13854434216824e-07,4.29479455505811e-06,7.66516104051608e-06,4.04772857726224e-07,4.67198883405165e-08,8.07292213872052e-07,2.37936871766102e-07,8.93185942135859e-09,3.80761848368885e-07,0.000335230547802431,7.23123338753192e-05,1.93170511247411e-06,1.20580102188341e-07,0.000525193333975885,6.7524857225471e-06
"14",0.386875546982699,0.000177425153397248,0.00337107791454771,0.0788654806850767,0.0637148249561744,0.00115326349708211,0.408343990543766,0.00425820368153395,0.000177425153397248,8.8712576698624e-05,8.8712576698624e-06,3.81184162492267e-07,4.06996902339338e-06,1.15326349708211e-05,7.04245290961684e-07,1.36857501335524e-06,8.96113864909893e-06,0.000659702835250033,0.000888583629526986,0.0267024855862858,2.66137730095872e-07,6.09183216938283e-05,4.4356288349312e-07,2.47976092763266e-06,2.83880245435597e-06,4.4356288349312e-06,4.4356288349312e-07,7.78614243325676e-06,1.77425153397248e-06,7.38406498853445e-08,8.8712576698624e-08,4.4356288349312e-06,1.89844955772165e-05,8.8712576698624e-08,3.98833503336457e-06,1.77425153397248e-06,1.77425153397248e-06,0.0209508973074766,0.0020939565146618,2.23555693280532e-05,1.77425153397248e-06,0.000659032698793616,1.78116019667838e-05,8.32322430301635e-05,2.66137730095872e-07,8.8712576698624e-06,7.61315370781614e-06,8.8712576698624e-07,8.8712576698624e-08,4.4356288349312e-07,2.36322494457378e-07,1.77425153397248e-07,4.4356288349312e-07,4.4356288349312e-05,7.09700613588992e-05,4.4356288349312e-06,4.4356288349312e-07,0.000588757895668148,1.77425153397248e-05
"15",0.385994824818483,1.7845345576444e-05,0.00339061565952435,0.0789656541757646,0.0640840967537359,0.00107072073458664,0.40678465241504,0.00419365621046433,0.00017845345576444,8.92267278822198e-05,1.7845345576444e-05,3.83393390265903e-07,4.09355732922835e-06,2.609520705584e-05,7.08326883035374e-07,9.81494006704418e-07,5.35360367293319e-06,0.000663526272762367,0.00105287538901019,0.0271873839857124,2.81589624849491e-07,5.35360367293319e-05,1.58745722342664e-07,1.7845345576444e-06,6.98429848442422e-08,4.46133639411099e-06,5.53573978871925e-07,7.13813823057759e-06,8.12836219653586e-07,7.42686078925278e-08,3.6217574181793e-08,2.05959520020215e-06,1.7845345576444e-05,4.67371902210511e-08,1.7845345576444e-06,1.70754478945538e-06,2.67680183646659e-06,0.0221996098970963,0.00212359612359683,2.40912165281994e-05,2.7596033664755e-06,0.000662852252398334,1.3384009182333e-05,8.03040550939979e-05,2.13634479766233e-07,8.92267278822198e-07,7.65727723725739e-06,4.04356539066002e-07,4.66718358069823e-08,8.0646189433241e-07,2.37692147946853e-07,3.59929461854167e-08,3.803702256117e-07,0.000339061565952435,6.60277786328427e-05,1.9297183071115e-06,3.33389724029879e-07,0.000642432440751983,8.92267278822198e-06
"16",0.394519223285728,0.000800602707907903,0.00355823425736846,0.0781032419492376,0.0638895524451638,0.00115642613364475,0.403592720642017,0.00426988110884215,0.000370169718258322,8.89558564342114e-05,5.66515027764297e-05,3.82229497727837e-07,2.70425803560003e-06,2.63309335045266e-06,7.06176568516116e-07,1.37232810654418e-06,4.80361624744742e-06,0.000661511962403121,0.00103188793463685,0.0222745464511265,3.52265191479477e-08,4.49938721844241e-05,2.26837433907239e-08,2.76652713510398e-06,6.96309579002198e-08,5.69716888976479e-06,5.51893457924942e-07,7.80749465571383e-06,1.47666721680791e-07,7.40431457934584e-08,9.25140906915799e-09,2.84658740589477e-07,1.61010100145923e-05,3.29136668806582e-08,3.99927239003326e-06,2.01040235541318e-08,2.41070370936713e-06,0.0216162731135134,0.00211981805882726,2.42760532208963e-05,2.59751100787897e-07,0.000660839988207051,1.78604473726792e-05,6.87806681949323e-05,2.12985935521114e-07,4.2773526746357e-06,1.22759081879212e-06,1.57451865888554e-08,4.65301510445091e-08,1.34323343215659e-08,2.36970570255698e-07,1.37881577473028e-08,7.91707122264482e-09,0.000320241083163161,6.57512897053815e-05,2.12604496877765e-07,1.16532171928817e-07,0.00062269099503948,5.5953233697119e-06
"17",0.400045332828643,1.8574356036771e-05,0.00213605094422866,0.0818293255199945,0.0667020329922893,0.00112374854022464,0.408310781578318,0.00456000440702727,0.000111446136220626,5.57230681103129e-05,5.91453573023459e-05,3.99055613825922e-07,3.06476874606721e-06,2.71612373451731e-05,7.37263151310572e-07,1.17018443031657e-06,6.50102461286984e-06,0.000690632365579312,0.00104206780955294,0.00642226934327393,2.93093004324854e-07,5.04293766398332e-05,1.6523073501021e-07,4.78289667946852e-06,7.26961807273817e-08,2.60040984514793e-06,5.76188347388003e-07,8.15118820185078e-06,2.47967653090892e-06,7.73025974443494e-08,3.7697119103638e-08,4.64358900919274e-07,1.57882026312553e-05,1.8574356036771e-08,1.30949210059235e-06,1.77730068225429e-06,1.95030738386095e-06,0.0229018095062179,0.00225957041187319,2.28464579252283e-05,9.28717801838548e-07,0.000689930810422314,1.51381001699683e-05,8.7134506363926e-05,2.22361784584677e-07,9.28717801838548e-07,9.28717801838548e-07,1.2166203204085e-06,4.85784537741269e-08,4.55071722900889e-06,2.60040984514793e-07,3.74633146999829e-08,3.95908948136295e-07,0.000184629099005503,6.44251539135401e-05,2.78615340551564e-07,6.50102461286984e-08,0.00050522248420017,2.22892272441252e-05
"18",0.367287447037108,0.000263037083101294,8.76790277004315e-05,0.0838211504816125,0.0629725131447705,0.000964469304704747,0.415072517133843,0.00394555624651942,8.76790277004315e-05,8.76790277004315e-05,8.76790277004315e-05,3.76743162986536e-07,2.82326469195389e-05,8.76790277004315e-08,6.96040456404483e-07,1.35263038197778e-06,1.2599476280552e-05,0.000652016944141337,0.000291094371965433,0.0394906340762744,8.76790277004315e-08,4.9977045789246e-05,7.89111249303883e-07,1.82372377616898e-06,2.98108694181467e-07,5.61539452176656e-06,2.63037083101295e-07,7.69542970670599e-06,1.69220523461833e-05,7.29803667940964e-08,3.85787721881899e-07,3.50716110801726e-07,1.87633160430938e-05,8.76790277004315e-08,3.94186879563828e-06,0.000148177556813729,6.53208756368215e-06,0.0202450874960296,0.00164836572076811,2.04292134542005e-05,2.10429666481036e-05,0.0006513546151333,1.76040872709644e-05,0.000206922505373018,2.09928839864174e-07,4.21595765222338e-06,5.78681582822848e-06,3.0687659695151e-06,8.76790277004315e-08,2.98108694181467e-06,2.33569210915332e-07,1.92893860940949e-07,9.64469304704747e-07,0.000361237594125778,6.48075279414665e-05,0.00024988522894623,7.89111249303883e-07,0.000676882093847331,0.000401569946867976
"19",0.382365716341313,7.55252153269978e-05,0.00371486469727854,0.0796042435131116,0.0665137679131777,0.00106138991350815,0.402089878900672,0.00477625461078669,8.84491594590129e-05,0.000124069891366539,5.63288130036827e-05,2.21122898647532e-07,4.05788392739749e-06,1.02601024972455e-05,4.77625461078669e-07,8.57956846752425e-07,5.74919536483584e-06,0.00065774395741904,0.00103485516567045,0.0312225532890315,2.7419239432294e-07,4.03328167133099e-05,3.18416974052446e-07,2.21122898647532e-07,7.96042435131116e-08,9.11026342427833e-06,1.68053402972124e-07,1.4063416353983e-05,1.85743234863927e-07,5.30694956754077e-08,7.07593275672103e-08,2.12277982701631e-06,1.68937894566715e-05,3.53796637836051e-08,1.50363571080322e-06,4.24555965403262e-06,1.94588150809828e-06,0.0224660865025893,0.00225545356620483,7.69507687293412e-07,3.62641553781953e-06,0.000657075810821356,1.77587133776148e-05,8.33191082103901e-05,2.47657646485236e-07,4.1571104945736e-06,3.62641553781953e-06,3.18416974052446e-07,4.42245797295064e-08,1.85743234863927e-06,2.35620774121157e-07,3.53796637836051e-08,5.92609368375386e-07,0.000306918583322775,5.77573011267354e-05,2.7419239432294e-07,2.29967814593433e-07,0.000632411490131942,8.31422098914721e-06
"20",0.384267097362249,6.25114962011561e-05,0.005206314612182,0.079309228251781,0.0641382571256904,0.00121004396217952,0.40855727874327,0.00449636261961173,0.000240758562511881,2.54511091676135e-05,5.68720316948543e-05,3.83717413380429e-07,2.38168800526405e-06,4.18827024547746e-05,7.08925522157932e-07,7.44154711206048e-07,7.72463488771429e-07,0.00066408704886057,0.00107162564916268,0.0265673858854913,1.47348526759868e-07,7.6505141136472e-05,1.58879885540771e-07,2.49624077435892e-06,1.78604274860446e-08,2.73889655498494e-06,4.46510687151115e-07,7.83788711253577e-06,7.09951992570272e-07,8.93021374302229e-08,6.25114962011561e-08,3.08092374134269e-07,1.91106616014496e-05,5.35812824581338e-08,4.01484047157453e-06,1.70898791287618e-06,3.8846429782147e-07,0.0201822830592304,0.00202983758378897,2.08967001586722e-05,2.76193563223794e-06,0.000663412458851407,1.29041588586672e-05,7.89877405570322e-05,7.14417099441784e-08,4.29400324722122e-06,7.66374874897929e-06,2.67906412290669e-08,3.57208549720892e-08,7.36742633799339e-07,2.37893032344006e-07,3.60233654540324e-08,9.37672443017341e-08,0.000250340681858144,6.37617261251792e-05,1.9313491994323e-06,3.03627267262758e-07,0.000602342916966854,4.00966597061701e-05
