"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11",0.51763,0.02096,0.14466,0.09784,0.0586,0.00129,0.06281,0.05384,0.0443,0.04041,0.00822,4.03224334654035e-06,2.61361191914624e-05,0.007873,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.0010435,0.00183132544940375,0.0003445,0.0021189,1.143e-05,0.0003362,4.833e-05,1.888e-05,2.627e-05,0.00478265153277162,0.0002344,7.479e-05,1.39770732240697e-05,6.094e-05,7.91e-06,7.36486117952334e-07,0.00056583,0.000117487872856208,1.83e-06,4.86781294971051e-05,0.00057095,0.00048202,0.0016092,7.884e-05,0.00012539,0.00064721,0.00131138268515994,3.83401707517704e-06,0.00010419,8.982e-05,2.77904819470821e-05,0.008925,3.22e-05,1.019e-05,7e-05,1.51039800645396e-06,2.31e-06,1.544e-05,0.0010392,1.67030647027719e-05,0.00022618,1.323e-05,0.001082,0.0026751
"12",0.51973,0.02117,0.14609,0.09867,0.0622,0.00118,0.06271,0.05441,0.0437,0.04037,0.00841,4.03224334654035e-06,2.61361191914624e-05,0.00754,3.6e-05,2.05196385496835e-06,3.24951255240534e-06,0.001269,0.00183132544940375,0.00036,0.00253,1.68e-05,3e-04,5.38e-05,2.34e-05,2.93e-05,0.00478265153277162,0.000222702923533226,8.33e-05,1.39770732240697e-05,5.5e-05,9.8e-06,7.36486117952334e-07,0.0006645,0.0001561,2.2e-06,4.9e-05,0.00054,0.000536,0.00152,7.5e-05,0.000139,0.00061,0.00131138268515994,3.6e-06,0.0001151,7.86e-05,2.48e-05,0.00953,2.87e-05,1.19e-05,5e-05,1.51039800645396e-06,2.95e-06,1.9e-05,7e-04,1.67030647027719e-05,0.00025,1.74e-05,0.00119,0.00263
"13",0.5169,0.02034,0.1465,0.098,0.063977136012247,0.00131,0.063,0.055,0.0439,0.0399,0.00869,4.03224334654035e-06,2.61361191914624e-05,0.007126,2.86804391720434e-05,2.05196385496835e-06,3.24951255240534e-06,0.0010508,0.00183132544940375,0.000347,0.002289,1.38681142376483e-05,0.000346,4.68e-05,1.88e-05,2.66e-05,0.00478265153277162,0.000202,7.14e-05,1.39770732240697e-05,6.45641886657535e-05,8.1e-06,7.36486117952334e-07,0.000569,0.000117487872856208,1.8e-06,4.86781294971051e-05,0.000455,0.000462,0.001657,7.9e-05,0.0001189,0.000666,0.00131138268515994,3.83401707517704e-06,9.48088214229874e-05,8.73e-05,2.77904819470821e-05,0.009193,2.97387752709449e-05,9.5e-06,5.6e-05,1.51039800645396e-06,2.3e-06,1.70860061370554e-05,0.001094,1.67030647027719e-05,0.00021,1.34e-05,0.001181,0.002911
"14",0.52134,0.02174,0.14475,0.09928,0.06739,0.00126,0.06384,0.05298,0.0453,0.03939,0.00796,4.03224334654035e-06,9.42e-05,0.007719,4.2e-05,2.05196385496835e-06,3.24951255240534e-06,0.001,0.00254,4e-04,0.00224,2.34e-05,0.000334,4.62e-05,1.64e-05,2.29e-05,0.00478265153277162,0.00021,5.52e-05,1.31e-05,6.93e-05,7.2e-06,7.36486117952334e-07,0.00057,0.000117487872856208,2.3e-06,3.73e-05,0.000566,0.00047,0.00198,9e-05,0.000119,6e-04,0.00286,2.5e-06,1e-04,9.36e-05,2.78e-05,0.00901,1.9e-05,8.2e-06,7.81e-05,1.1e-06,2.2e-06,1.64e-05,0.000972,1.12e-05,2e-04,1.37e-05,0.0012,0.002822
"15",0.5216,0.02155,0.143693813538906,0.09895,0.063977136012247,0.0013,0.0653,0.05525,0.04315,0.0408,0.008865,3.5e-06,2.61361191914624e-05,0.008005,2.2e-05,4e-07,2e-06,0.00108775,0.00183132544940375,0.0003875,0.001735,1.22e-05,0.00029,4.355e-05,1.865e-05,2.75e-05,0.00478265153277162,0.0002325,6.89e-05,1.1e-05,6.85e-05,7.65e-06,7e-07,0.00058575,0.000106,1.81e-06,5.25e-05,0.00056555,0.00046185,0.001705,0.00014,0.000125575,0.00070425,0.00314,2.9e-06,9e-05,8.475e-05,3.15e-05,0.01001,3.22e-05,9.23e-06,6.82e-05,1.45e-06,2.3e-06,1.685e-05,0.00097,1.2e-05,0.0002051,1.255e-05,0.0011,0.00318
"16",0.5146,0.0218,0.1492,0.0444,0.0572,0.00136,0.0609,0.0538,0.0432,0.0405,0.00789,4.03224334654035e-06,1e-04,0.00764,3.2e-05,2.05196385496835e-06,3.24951255240534e-06,0.00094,0.00183132544940375,0.00044,0.00227,1.38681142376483e-05,0.00038,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,0.000222702923533226,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.00059,1e-04,1.8550402644314e-06,4.86781294971051e-05,0.00042,0.000461011408662163,0.00156,8.50376169912252e-05,0.000117933329755945,0.000624746289064384,0.00131138268515994,0.00018,4.9e-05,8.62524634905029e-05,2.77904819470821e-05,0.00883,2.97387752709449e-05,9.35958924254023e-06,6.40900578280276e-05,1.51039800645396e-06,2.28536418282489e-06,1.70860061370554e-05,0.001,1.67030647027719e-05,0.00019,1.47539540256455e-05,0.00111,0.00282339337224804
"17",0.51599,0.02121,0.14259,0.09657,0.063977136012247,0.0013,0.06764,0.0586,0.04283,0.0378,0.00928,4.03224334654035e-06,2.61361191914624e-05,0.007515,2.8e-05,2.05196385496835e-06,3.24951255240534e-06,0.0010374,0.00183132544940375,0.0003623,0.002293,1.16e-05,0.000288,4.78e-05,1.95e-05,2.67e-05,0.00478265153277162,0.0002341,7.03e-05,1.39770732240697e-05,6.57e-05,8.1e-06,7.36486117952334e-07,0.0005517,0.000117487872856208,1.9e-06,4.61e-05,0.0004883,0.0004635,0.001879,0.0001377,0.0001183,0.0006449,0.00131138268515994,3.83401707517704e-06,9.9e-05,8.65e-05,4.79e-05,0.0089802,3e-05,9.5e-06,6.78e-05,1.51039800645396e-06,2.4e-06,1.66e-05,0.001078,3.14e-05,0.0001996,1.41e-05,0.001282,0.002722
"18",0.4994,0.0214,0.1289,0.0972,0.063977136012247,0.00127,0.0448,0.0525,0.0299,0.0408,0.006985,4.03224334654035e-06,1e-05,0.007923,2.86804391720434e-05,2.05196385496835e-06,1.3e-05,0.000953,0.00183132544940375,0.000354209818126518,0.001903,8.6e-05,0.000314,4.64749099944251e-05,1.92842799886469e-05,2.6055132337126e-05,0.00478265153277162,0.00021,7.41970544593581e-05,1.39770732240697e-05,6.45641886657535e-05,8.11450767830005e-06,7.36486117952334e-07,0.000527,0.000117487872856208,1.8550402644314e-06,1e-05,0.000472,0.000395,0.001625,8.5e-05,0.000117933329755945,0.000595,0.00229,3.83401707517704e-06,9.48088214229874e-05,0.000107,3.8e-05,0.008515,2.97387752709449e-05,9.35958924254023e-06,8e-05,1.51039800645396e-06,2.28536418282489e-06,2.8e-05,0.00153,1.67030647027719e-05,0.000195,1.47539540256455e-05,0.001089,0.002864
"19",0.525,0.0208,0.144,0.098,0.078,0.0014,0.066,0.056,0.043,0.0381,0.0091,3e-06,6.8e-05,0.00684,3.1e-05,2.05196385496835e-06,3.24951255240534e-06,0.00101,0.0068,0.00035,0.00195,1.1e-05,0.00031,4.4e-05,3.2e-05,2.3e-05,0.0049,0.00025,8.8e-05,3.6e-05,5.5e-05,7e-06,7.36486117952334e-07,0.00058,0.00013,2e-06,5.2e-05,0.00079,0.00048,0.00154,8.2e-05,0.00013,0.00062,0.0028,3e-06,0.00014,8.3e-05,2.4e-05,0.0089,3e-05,6e-06,7.3e-05,2e-06,2e-06,2e-05,0.00092,1.7e-05,0.00018,1.4e-05,0.00113,0.00229
"20",0.5202,0.0209,0.1453,0.098,0.0645,0.0013,0.0638,0.0541,0.0445,0.0396,0.0083,4.03224334654035e-06,2.61361191914624e-05,0.00789,2.86e-05,2.05196385496835e-06,3.24951255240534e-06,0.00106,0.00183132544940375,0.00037,0.00194,1.25e-05,0.000313,4.77e-05,1.91e-05,2.73e-05,0.00478265153277162,0.000237,7.31e-05,1.39770732240697e-05,6.72e-05,7.9e-06,5.9e-07,0.000571,0.000115,1.8e-06,4.97e-05,0.000531,0.000495,0.00162,8.6e-05,0.000128,0.000638,0.00131138268515994,3.83401707517704e-06,0.000104,9.05e-05,2.54e-05,0.00933,3.23e-05,1e-05,6.38e-05,1.2e-06,2.5e-06,1.6e-05,0.00104,1.14e-05,0.000206,1.3e-05,0.00114,0.0027
