"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11",0.443030479837825,0.0105961929198325,0.158029428890605,0.0931734205019755,0.0653838105483993,0.0014250052547361,0.0793801004080556,0.1123561835465,0.0176298727028248,0.00161683288518134,0.00125144692242849,1.08165587207382e-06,2.43895130137524e-05,0.00161683288518134,3.96932348799189e-06,5.01338678405095e-06,1.51262173404101e-06,9.5548429259869e-05,0.000438463155303414,0.0028956837548163,0,0.000922599555950934,2.74039472064634e-05,1.73558332307601e-05,8.22118416193901e-06,0.00138197710045062,0.000127885086963496,2.37500875789349e-05,1.24108993831339e-05,1.82692981376423e-05,5.48078944129267e-06,4.11059208096951e-05,5.52313978975746e-05,2.37500875789349e-06,7.07977468932015e-06,2.8956837548163e-05,6.86012145068467e-05,0.00133365876404788,2.68558682623341e-05,1.4250052547361e-05,4.56732453441056e-05,0.00132137037121561,1.95444252030939e-06,0.000429328506234593,1.9456802516589e-05,1.17288004568633e-05,0.00151635174542431,3.2797554653317e-06,4.11059208096951e-06,2.19231577651707e-06,2.88086543759352e-07,2.37500875789349e-06,2.28366226720528e-06,0.00221058507465471,7.3077192550569e-05,0.00016442368323878,1.66250613052544e-05,0.000675964031092763,0.000420193857165772
"12",0.444237204625423,0.0105018226450229,0.157205761554105,0.0928901373063708,0.0657653005673174,0.00140575578712905,0.0774543874869146,0.113654895992068,0.0189455453141184,0.00117605712910143,0.00106580177324817,1.08796692852096e-06,2.35431691323357e-05,0.00166301828411999,3.99248300224818e-06,5.04263801616865e-06,1.52144731470227e-06,0.000119443302174364,0.000523712940302981,0.00273800800368927,0,0.000799351329936129,2.57262496990938e-05,1.74570980100994e-05,9.18794632110493e-06,0.00139004041866002,0.000165383033779889,2.02134819064308e-05,1.01067409532154e-05,1.52334646596741e-05,5.51276779266296e-06,5.51276779266296e-05,5.55536523953179e-05,1.10255355853259e-06,7.12108252007384e-06,3.67517852844197e-05,8.36103115220549e-05,0.00121280891438585,3.21578121238673e-05,1.83758926422099e-05,1.83758926422099e-05,0.0013290800718844,1.965845959598e-06,0.000358329906523092,2.02134819064308e-05,1.17972336098204e-05,0.00155276292826673,3.298891608729e-06,3.03202228596463e-06,4.28697527703156e-06,2.89767420724262e-07,7.35035705688394e-07,2.99362894686439e-06,0.00206728792224861,4.64443287096508e-06,0.000179164953261546,1.47007141137679e-05,0.000578840618229611,0.000505337047660771
"13",0.41010825724372,0.00827741436638701,0.201761975180683,0.0865366047395005,0.0673271737948924,0.00141092290336142,0.0797688596353818,0.100645833773115,0.0193452746879784,0.00144854751411773,0.00129599790704475,1.11380527189483e-06,2.41023005472743e-05,0.00178716901092447,4.08730127661121e-06,5.1623966312113e-06,3.76246107563046e-05,0.00012227998495799,0.000437200535148468,0.00263372275294132,0,0.000874772200084081,3.09914299964448e-05,1.98523553812778e-05,9.19550865734126e-06,0.0014230527655424,0.000141092290336142,2.65102665061427e-05,1.27797809994669e-05,1.55952472472987e-05,6.73219946067964e-06,6.5843068823533e-05,5.68730071556818e-05,2.85468271711087e-06,7.29020252779083e-06,1.88123053781523e-05,9.40615268907615e-05,0.00118517523882359,1.88123053781523e-05,1.59795167993972e-05,2.24068242500476e-05,0.00771304520504244,2.0125332270072e-06,0.000333896460869493,2.3633413142241e-05,1.20774084615382e-05,0.00139211059798327,3.37723764288224e-06,4.96083258235721e-06,4.388787507109e-06,2.96649164938133e-07,2.81696745056853e-06,3.06472523723433e-06,0.0022574195792239,4.75473443266789e-06,0.000159904595714294,1.95563089268792e-05,0.000564369161344569,0.000470307634453807
"14",0.439958689462063,0.00964620221205192,0.158289584870147,0.0916848553107411,0.0660535180044317,0.00157095293167703,0.0808443613962446,0.113365843139734,0.0186493242766337,0.00174550325741892,0.00112079682844794,1.08783820575376e-06,1.37802888743599e-05,0.00147908433918129,8.72751628709459e-06,3.21540073735064e-05,1.52126730471908e-06,0.000108404939144964,0.000372067799607717,0.00323377445584979,0,0.000844272365035782,3.08678470785661e-05,1.62607408717447e-05,7.80883036213727e-06,0.00266418918237624,0.000148124384339167,3.13271900410448e-05,1.24818353649333e-05,1.52316623128621e-05,6.57524611068071e-06,4.13408666230796e-05,5.55470795669742e-05,3.21540073735064e-06,7.1202399894569e-06,4.59342962478663e-05,7.44135599215434e-05,0.0013045340134394,3.12382988558287e-05,1.24022599869239e-05,5.05277258726529e-05,0.000826817332461593,1.96561337060546e-06,0.000284792636736771,1.74550325741892e-05,1.17958378205589e-05,0.00147908433918129,3.29850130048942e-06,4.84517657763952e-06,3.6747436998293e-05,2.89733136902517e-07,3.76661229232503e-06,2.99327475576544e-06,0.00225078051614545,4.64388336506046e-06,0.000174550325741892,2.17728564214886e-05,0.00081763047321202,0.000473123251353023
"15",0.439772288962269,0.0106722982258626,0.159164447678813,0.0948546506108994,0.0672538793371168,0.00147204113460174,0.0772821595665912,0.111783123658819,0.0188605270370847,0.00165604627642695,0.00128803599277652,1.08942467656674e-06,2.35747142169282e-05,0.00159164447678813,3.99783246107982e-06,5.04939455951653e-06,1.52348587561034e-06,0.000123589038347961,0.000386410797832956,0.00293488201211221,0,0.000699219538935825,3.03130443464139e-05,1.94177980532837e-05,8.99422394351583e-06,0.00139190290974383,0.00011040308509513,2.59299711025964e-05,1.25000385015708e-05,2.76007712737826e-05,6.58483525361353e-06,4.79672550213959e-05,5.56280877720669e-05,2.79219525554807e-06,7.13062393521735e-06,3.68010283650434e-05,8.14074519405465e-05,0.00136163804950661,3.68010283650434e-05,1.56297338144758e-05,1.84005141825217e-05,0.00133086088325529,1.96847996255413e-06,0.000230006427281521,2.31160905037313e-05,1.1813040518826e-05,0.00149044164878426,1.84005141825217e-05,4.85224263873528e-06,4.29271932096208e-06,2.90155675073007e-07,2.75530555580314e-06,2.99764005844569e-06,0.00231846478699773,4.65065586613515e-06,0.000156404370551434,1.91282318957423e-05,0.000680819024753303,0.000570415939658173
"16",0.440393047064474,0.0108475761066407,0.160395783457166,0.0964228987256954,0.0663628767878747,0.00157614353686233,0.0778800335861386,0.114038620608274,0.0148342921116455,0.00166885786256011,0.00111257190837341,1.85428651395568e-06,7.41714605582272e-05,0.0013721720203272,4.02876068793564e-06,3.70857302791136e-06,1.85428651395568e-06,0.000101985758267562,0.000259600111953795,0.0022344152493166,0,0.000741714605582272,2.78142977093352e-05,1.85428651395568e-05,7.41714605582273e-06,0.00120528623407119,0.000149488002812748,2.41057246814239e-05,1.25967419102921e-05,1.48342921116455e-05,6.49000279884488e-06,4.6357162848892e-05,4.6357162848892e-05,2.78142977093352e-06,1.29800055976898e-05,9.27143256977841e-05,7.13900307872937e-05,0.00108475761066407,1.66885786256011e-05,1.39071488546676e-05,1.66885786256011e-05,0.00157614353686233,1.85428651395568e-06,0.000213242949104903,2.03971516535125e-05,1.94700083965347e-05,0.00109402904323385,1.11257190837341e-05,4.6357162848892e-06,5.56285954186704e-06,2.78142977093352e-06,2.78142977093352e-06,2.78142977093352e-06,0.00261454398467751,9.27143256977841e-06,0.000157614353686233,1.66885786256011e-05,0.000593371684465818,0.000454300195919142
"17",0.443777018756936,0.0106672911949353,0.158991327685509,0.0961384086116163,0.0633644199704053,0.00148722400062169,0.0752818625076597,0.109859820522114,0.0189266959126736,0.00406330843026997,0.0013455836196101,1.04824873874254e-06,2.26836833933207e-05,0.00166870073879279,6.19676666925703e-06,4.85854744460838e-06,1.46590414367466e-06,0.000104636831472312,0.000416157144459676,0.00284714870880921,0,0.00073830048602291,2.9833005250566e-05,2.0006703817887e-05,8.94104905135658e-06,0.00133929449274932,0.000136328866723655,2.52296928676894e-05,1.20275865558679e-05,1.2747634291043e-05,6.90496857431498e-06,4.11642357314932e-05,5.3525566383805e-05,2.83280762023179e-06,4.42626190661217e-06,3.15149847750786e-05,7.40956243166877e-05,0.00144207612917424,3.01014500160855e-05,1.51378157206136e-05,1.82361990552421e-05,0.00128055961308921,1.8940792166469e-06,0.000339936914427814,2.04493300085482e-05,6.90496857431498e-06,0.0017837835483647,2.39018142957057e-06,4.42626190661217e-06,3.54100952528974e-06,2.7918893979233e-07,2.83280762023179e-06,2.30165619143833e-06,0.00215824530566409,4.47487949452842e-06,0.000186788252459033,1.85903000077711e-05,0.000719710186015139,0.000444308170185729
"18",0.449019257469292,0.0117591442582388,0.165667501980712,0.0965233624985663,0.0447348660810663,0.00157778573314964,0.0804670723906317,0.110352190394995,0.0203255926799866,0.00222746221150538,0.00153138027040995,9.00265977150089e-06,2.37818467753861e-05,0.00180981304684812,3.9908697956138e-06,0.000100235799517742,5.38303367780466e-06,0.00017819697692043,0.000445492442301075,0.00153138027040995,0,0.00107660673556093,3.43400424273745e-05,2.1624945636698e-05,9.9307690262948e-06,0.00140413247096639,0.000219961893386156,2.39452187736828e-05,1.26098665542814e-05,1.538789957963e-05,7.23925218739247e-06,5.11388199391443e-05,7.51768496383064e-05,3.24838239177867e-06,7.19327514555705e-06,7.88892866574821e-05,7.90749085084408e-05,0.00138288278964292,8.72422699506272e-05,1.80981304684812e-05,2.21089127982806e-05,0.00134255411597759,1.98577545496881e-06,0.000329457117824381,2.5430193581353e-05,1.19168324580757e-05,0.00167059665862903,1.85621850958781e-05,5.0117899758871e-06,4.33043608509805e-06,2.9270504584272e-07,3.34119331725806e-06,3.0239779749493e-06,0.00229242985934095,4.69151753848443e-06,0.000189334287977957,2.24602439660125e-05,0.000631114293259857,0.000519741182684588
"19",0.438730673108191,0.0110691455359863,0.157902690835636,0.0963850203672049,0.0656425112871742,0.0014856682492376,0.0777683132934251,0.112617321608875,0.0189835387402583,0.00167825487413877,0.00124722766602663,1.08593560387377e-06,2.34992120795265e-05,0.00179747516574426,3.98502870477518e-06,5.03322299203455e-06,1.51860664615918e-06,0.000123193222879369,0.000412685624788223,0.00251279691537718,0,0.000779517291266643,3.02159615305526e-05,1.93556091655132e-05,8.96541837133559e-06,0.00138744509770954,0.000155903458253329,2.58469258438928e-05,1.24600049463054e-05,1.52050225155112e-05,6.56374616928739e-06,4.7813631514189e-05,5.54499291107271e-05,2.78325276284607e-06,7.10778686736736e-06,3.20977708168618e-05,8.25371249576446e-05,0.00151318062422348,3.11836638505343e-05,1.55796768636618e-05,9.17079166196051e-05,0.00192586624901171,1.96217556186289e-06,0.000325541693880458,2.3042057188827e-05,1.17752071945203e-05,0.00158654695751917,3.29273230401341e-06,4.83670248469376e-06,5.50247499717631e-05,2.89226400874999e-07,2.74648120880391e-06,2.98803959290066e-06,0.00199923258230739,4.63576132892118e-06,0.000165074249915289,1.90669703941371e-05,0.000641955416337236,0.000513564333069789
"20",0.440647557929332,0.0108847418538123,0.15792100045531,0.0943651772580504,0.069643899149392,0.00150357027302661,0.0764699237017828,0.111614725789092,0.0180797407063322,0.00156814077554922,0.00128218569294907,1.09227846459189e-06,2.36364690482404e-05,0.00164193563557507,4.00830493031006e-06,5.06262163435539e-06,1.52747670291748e-06,0.000107002547037476,0.000424320445148614,0.00299791618854999,4.61217875161537e-07,0.000830192175290766,2.9425700435306e-05,1.86332021565261e-05,9.50108822832765e-06,0.00139554905063035,0.000166038435058153,2.74885853596276e-05,1.2532782812359e-05,1.40210234049107e-05,6.64153740232613e-06,4.75054411416383e-05,5.57738075947963e-05,2.85955082600153e-06,7.14930286698375e-06,3.65284557127937e-05,7.72078723020412e-05,0.00132830748046523,2.96101875853707e-05,1.47589720051692e-05,1.81719842813645e-05,0.00112537161539415,1.97363646824538e-06,0.000324697384113722,2.21384580077538e-05,1.18439852131206e-05,0.00154969206054276,2.58282010090461e-06,4.61217875161537e-06,3.22852512613076e-06,2.90915748540009e-07,2.85955082600153e-06,3.32076870116306e-06,0.00214005094074953,4.66283843029528e-06,0.000194633943318168,1.95556379068492e-05,0.000719499885251997,0.000553461450193844
"21",0.439595666837725,0.0106257756518392,0.160943860519667,0.0935251460390325,0.0655663508022113,0.00146562422783988,0.0781360916467138,0.111479042830071,0.0198775285900784,0.00174042877055986,0.00146562422783988,1.08467566758236e-06,2.34719475621714e-05,0.00154806559065588,3.57245905535972e-06,5.49609085439956e-08,9.16015142399927e-07,0.000106624162575352,0.000453427495487964,0.00276636573004778,3.38925602687973e-07,0.000795101143603137,3.05033042419176e-05,1.94195210188785e-05,9.19679202969527e-06,0.00138583534071778,0.000148486054583028,2.68392436723179e-05,1.24455484607026e-05,1.34654225932789e-05,6.56782857100748e-06,4.81823964902362e-05,5.69761418572754e-05,2.81216648716778e-06,3.11445148415975e-06,3.8106229923837e-05,7.5754452276474e-05,0.0012714290176511,3.29765451263974e-05,1.56638589350387e-05,1.82287013337585e-05,0.00132505940801108,1.00761665663992e-06,0.000334345526975973,2.18011603891183e-05,1.1761545232586e-05,0.00156638589350388,2.5465220958718e-06,4.82739980044762e-06,3.00452966707176e-06,1.19081968511991e-07,2.84880709286377e-06,2.5098814901758e-06,0.00207019422182384,2.40911982451181e-06,0.000176058110369266,1.86683886021105e-05,0.00062930240282875,0.000490984116326361
"22",0.441041756822502,0.0111171682504846,0.155822604166628,0.0947693031188847,0.0694367394005675,0.00150355144371308,0.0774556804337039,0.110260439205626,0.019500606603309,0.00173136226851809,0.00118461628898606,9.11243299220046e-07,2.73372989766014e-05,0.00164023793859608,2.73372989766014e-06,5.00119389255787e-06,1.50894293695879e-06,0.000109349195906405,0.000455621649610023,0.00318935154727016,3.64497319688018e-07,0.000838343835282442,3.46272453703617e-05,2.0958595882061e-05,1.00236762914205e-05,0.00124840331993146,0.000151266387670528,2.82485422758214e-05,9.11243299220046e-06,1.64023793859608e-05,6.56095175438433e-06,4.82958948586624e-05,5.46745979532027e-05,3.00710288742615e-06,2.73372989766014e-06,4.37396783625622e-05,7.74556804337039e-05,0.00143976441276767,4.55621649610023e-05,1.64023793859608e-05,1.86804876340109e-05,0.000820118969298041,1.09349195906405e-06,0.000337160020711417,2.27810824805011e-05,1.18461628898606e-05,0.00154911360867408,4.10059484649021e-06,4.82958948586624e-06,3.64497319688018e-06,2.87385898044194e-07,3.18935154727016e-06,3.09822721734816e-06,0.00246035690789412,3.64497319688018e-06,0.000173136226851809,1.9136109283621e-05,0.000683432474415034,0.000528521113547626
