"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"21",0.6029,0.0084,0.1764,0.0605,0.0363804579716875,9e-04,0.032,0.0601,0.0428,0.0123,0.0016,1.07276611713763e-06,1.28298394521678e-05,0.0033,1.24755388072964e-05,1.8e-07,1.30374674152792e-06,0.000329,0.000463178992333751,0.000185709067441876,4e-04,2.35e-06,0.000334,2.89e-05,1.56e-05,1.16e-05,0.0029456619573746,0.000203830471368368,3.36e-05,1.00625921178374e-05,3.92e-05,5.8e-06,0.000157,0.000116690197350288,2.06e-06,1.44821293567416e-05,8.28e-05,0.0001731,0.000292,8.42e-05,4.24e-05,0.000186,0,8e-06,0.000124,3.68e-05,1.96e-05,0.00554,6e-06,5.2e-06,2.61e-05,9e-07,2.19e-06,8.3e-06,0.001,1.60762906345751e-05,0.000153,1.39e-05,0.000606,0.001497
"22",0.597,0.0087,0.179,0.0624,0.0363804579716875,0.001,0.0329,0.0608,0.0442,0.0123,0.0016,1.07276611713763e-06,1.28298394521678e-05,0.0029,8e-06,3.92846731254129e-06,1.30374674152792e-06,0.00033,0.000463178992333751,0.000185709067441876,0.000385487754365569,3.72121628340981e-06,0.00024,3e-05,1.5e-05,1.2e-05,0.0029456619573746,0.000203830471368368,3.6e-05,1.00625921178374e-05,3.57805660831391e-05,5.5e-06,0.00017,0.000116690197350288,2.2e-06,1.44821293567416e-05,0,0.00018,0.00022,0.00013,4.1e-05,0.000188254208696787,0,7.67534520812709e-06,0.000139364615396092,3.6e-05,2.21185387184798e-05,0.0059,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,0.0061,2.1e-06,0,0.00103198103552603,1.60762906345751e-05,0.00013,1.5e-05,0.00074,0.0013
"23",0.5944,0.0086,0.1713,0.061,0.0363804579716875,9e-04,0.0326,0.0605,0.0423,0.0125,0.00175,1.07276611713763e-06,1.28298394521678e-05,0.00302,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00019,0.000463178992333751,0.00014,0.00042,3.72121628340981e-06,3e-04,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.00018,3.38150321431173e-05,1.00625921178374e-05,3e-05,5.60182198061512e-06,0.00027,0.000116690197350288,2.03007129041361e-06,2e-05,9e-05,0.00013,0.00036,8e-05,6e-05,0.00019,0,7.67534520812709e-06,0.00017,3e-05,2.21185387184798e-05,0.0054,6.74939100436824e-06,5.21142777776697e-06,2.7848902895025e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00104,1.60762906345751e-05,0.00015,1.39726560207338e-05,0.00061,0.00144
"24",0.5985,0.00884,0.1761,0.06076,0.0363804579716875,0.00098,0.0327,0.06084,0.04121,0.01222,0.00168,1.07276611713763e-06,1.28298394521678e-05,0.003512,1.27e-05,3.92846731254129e-06,1.30374674152792e-06,0.000343,0.000463178992333751,0.0001835,0.0003679,3.72121628340981e-06,0.0003052,2.93e-05,1.53e-05,1.14e-05,0.0029456619573746,0.0001881,3.12e-05,1.00625921178374e-05,3.6e-05,6.1e-06,0.0001358,0.000116690197350288,2.1e-06,1.44821293567416e-05,6.82e-05,0.0001686,0.0003347,0.000102823594623432,3.88e-05,0.0001636,0,7.67534520812709e-06,0.0001282,3.77e-05,2.21185387184798e-05,0.005497,6.1e-06,5e-06,2.35e-05,3.09672885527078e-06,2.25186715958729e-06,8.9e-06,0.0006207,1.60762906345751e-05,0.0001595,1.4e-05,0.000647351954867482,0.001326
"25",0.6063,0.00833,0.1752,0.0609,0.0363804579716875,0.00095,0.0313,0.0605,0.0412,0.0129,0.00179,1.07276611713763e-06,1.28298394521678e-05,0.0035,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000335723559079081,0.000463178992333751,0.00017,0.00039,3.72121628340981e-06,3e-04,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.00022,3.38150321431173e-05,1.00625921178374e-05,3.57805660831391e-05,5.60182198061512e-06,0.000159303235649188,0.000116690197350288,2.03007129041361e-06,1.44821293567416e-05,8.3e-05,0.000182507189364999,3e-04,0.000108,4.288962827701e-05,0.00018,0.00024,7.67534520812709e-06,0.00015,3.58230689221933e-05,2.21185387184798e-05,0.00557,6.74939100436824e-06,5.21142777776697e-06,2.6e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00103,1.60762906345751e-05,0.000161826771811535,1.39726560207338e-05,0.00061,0.00158
"26",0.5876,0.0089,0.1814,0.0663,0.0363804579716875,0.0011,0.0328,0.0613,0.0427,0.0121,0.00172869177164344,1.07276611713763e-06,9e-06,0.00304,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00022,0.000463178992333751,0.000185709067441876,0.00048,3.72121628340981e-06,0.00031,2.79290865630495e-05,1.51017473364727e-05,1.15441982506921e-05,0.0029456619573746,0.00021,3.38150321431173e-05,1.00625921178374e-05,2e-05,5.60182198061512e-06,9e-05,0.000116690197350288,2.03007129041361e-06,7e-06,7e-05,0.000205,0.00026,8e-05,4.288962827701e-05,0.00018,0,7.67534520812709e-06,0.000139364615396092,3.58230689221933e-05,1e-05,0.00549,6.74939100436824e-06,5.21142777776697e-06,2.6e-05,5e-06,2.25186715958729e-06,0,0.000885,1.60762906345751e-05,0.00017,3e-05,0.00065,0.00149
"27",0.6074,0.0088,0.1757,0.0614,0.0363804579716875,0.00095,0.0319,0.0605,0.0421,0.0124,0.00178,1.07276611713763e-06,0.0001049,0.00318,1.24755388072964e-05,1.35e-05,1.30374674152792e-06,0.000409,0.000463178992333751,0.0002226,0.000385487754365569,0.0001211,0.000344,3.28e-05,1.67e-05,1.36e-05,0.0029456619573746,0.000232,4.27e-05,1.00625921178374e-05,4.35e-05,5.60182198061512e-06,0.000214,0.000116690197350288,2.3e-06,1.44821293567416e-05,9.66e-05,0.000192,0.0010113,0.0001048,4.68e-05,0.000221,0,7.67534520812709e-06,0.000139364615396092,4.11e-05,2.21185387184798e-05,0.00557,6.74939100436824e-06,5.9e-06,2.7848902895025e-05,3.09672885527078e-06,2.4e-06,8.4e-06,0.001212,1.60762906345751e-05,0.000256,1.49e-05,0.000307,0.0015
"28",0.5972,0.0085,0.1742,0.0624,0.0371,9e-04,0.0319,0.0605,0.0422,0.0127,0.0017,1.07276611713763e-06,1.28298394521678e-05,0.00320580778112716,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.0003431,0.000463178992333751,0.000185709067441876,0.000385487754365569,2.5e-06,0.00034,2.7e-05,1.4e-05,1.11e-05,0.0029456619573746,0.000203830471368368,3.37e-05,1.00625921178374e-05,3.67e-05,5.9e-06,0.0001656,0.000116690197350288,2e-06,1.44821293567416e-05,8.05e-05,0.0001765,0.000322565518004971,0.000102823594623432,4.2e-05,0.0001905,0,7.67534520812709e-06,0.000139364615396092,3.64e-05,2.21185387184798e-05,0.005697,6.1e-06,5.4e-06,2.45e-05,3.09672885527078e-06,2.1e-06,8.3e-06,0.00125,1.60762906345751e-05,0.00015,1.37e-05,8e-04,0.0013641
"29",0.5991,0.00865,0.1735,0.063,0.0362,0.001,0.0328,0.0609,0.04,0.0123,0.0016,1.07276611713763e-06,0.00029,0.00305,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.000319,0.000463178992333751,0.00013,0.00056,3.72121628340981e-06,3e-04,2.4e-05,1.1e-05,1e-05,0.003,0.000203830471368368,3e-05,1.00625921178374e-05,3.7e-05,4e-06,0.000157,0.00011,1e-06,1.44821293567416e-05,0,0.000155,3e-04,0.000102823594623432,3.6e-05,0.00019,0,7.67534520812709e-06,0.000139364615396092,3.3e-05,2.21185387184798e-05,0.00618,6.74939100436824e-06,4e-06,2.5e-05,3.09672885527078e-06,2e-06,1.1e-05,0.00102,1.60762906345751e-05,0.000214,8e-06,0.00077,0.00109
"30",0.5927,0.0085,0.174,0.0607,0.0363804579716875,0.00093,0.0318,0.06,0.0419,0.012,0.00177,1.07276611713763e-06,1.28298394521678e-05,0.00322,1.24755388072964e-05,3.92846731254129e-06,1.30374674152792e-06,0.00032,0.000463178992333751,0.00019,0.000385487754365569,3.72121628340981e-06,0.00031,2.8e-05,1.7e-05,1.1e-05,0.0029456619573746,0.00019,3.3e-05,1.00625921178374e-05,5e-05,5.60182198061512e-06,2e-04,0.000116690197350288,3e-06,1.44821293567416e-05,8e-05,0.00017,0.00033,1e-04,3.9e-05,0.00024,0,7.67534520812709e-06,0.000118,3.3e-05,2.21185387184798e-05,0.00536,6.74939100436824e-06,6e-06,2.3e-05,3.09672885527078e-06,2.25186715958729e-06,0,0.00103,1.60762906345751e-05,0.00016,1.3e-05,0.00062,0.00154
