"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11",0.698,0.0031,0.145,0.03,0.0253731279264488,8e-04,0.01,0.012,0.043,0.029,0.0017,2.01981400053128e-06,6e-06,0.000234506504794098,0.00362,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4e-05,0.00045,0.00223123598468877,7e-05,0.000364109943687264,4.06779683892934e-05,0.00014,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.00016,1e-04,2.14202297577599e-05,5e-05,7e-06,5.4579124061435e-06,0.00018,0.000511655535422664,2.14411393445741e-06,2e-05,0.00012,0.00015,2e-04,0.00011,4.56245340331142e-05,0.00152,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.00096,1.57383817817424e-05,4.91715963316719e-06,7e-05,7.50233335309583e-06,2.0593979538368e-06,4e-05,0.00038,6e-05,0.00018,1.46019066894046e-05,0.00043,0.00136
"12",0.693,0.0031,0.1446,0.0298,0.0253731279264488,8e-04,0.0102,0.0133,0.0449,0.0297,0.0017,2.01981400053128e-06,3e-05,0.000234506504794098,0.00335,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000375,0.00223123598468877,5.7e-05,3e-04,3.1e-05,0.00017,2.64207873147345e-05,1.50233130767919e-05,6.8e-06,0.00495179750378303,0.00016,3.64525504759557e-05,2.14202297577599e-05,3.1e-05,3.3141185366294e-07,7e-06,0.000188,0.000511655535422664,2.1e-06,1.07326346744543e-05,0.000105,0.000156,0.00015,8e-05,4.56245340331142e-05,0.00141,0,6e-06,5.6e-05,3.85497879214226e-06,3.1e-05,4e-05,0.00086,1.3e-05,5.4e-06,7e-05,7.50233335309583e-06,2.0593979538368e-06,2.9e-05,0.00034,2.5e-05,0.00014,1.46e-05,0.00041,0.00128
"13",0.6967,0.0032,0.148,0.0304,0.0253731279264488,0.00082,0.0109,0.0133,0.0468,0.0298,0.00166,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.003351,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000405,0.00223123598468877,6.67929492332913e-05,0.000418,4.06779683892934e-05,0.000141,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000168897309980269,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.000114,0.000161032028990565,0.000179,8e-05,4.56245340331142e-05,0.001524,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,6.8e-05,0.000914,1.57383817817424e-05,4.91715963316719e-06,4.2e-05,7.50233335309583e-06,2.0593979538368e-06,4.1e-05,0.000396,2.90179979551658e-05,0.000163,1.46019066894046e-05,0.000394,0.001244
"14",0.6844,0.00312,0.1554,0.0338,0.0253731279264488,8e-04,0.0098,0.0149,0.0466,0.0305,0.00142,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.00381,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00223123598468877,0.00011,0.00034,4.06779683892934e-05,0.00026,1e-05,1e-05,7.37419238452415e-06,0.00495179750378303,0.00018,3e-05,2.14202297577599e-05,3e-05,3.3141185366294e-07,5.4579124061435e-06,0.00011,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.00017,8e-05,0.00017,9e-05,3e-05,0.00157,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,2e-05,4.25355780894433e-05,0.00098,2e-05,4.91715963316719e-06,5e-05,1e-05,2.0593979538368e-06,3e-05,0.00051,3e-05,6e-05,1.46019066894046e-05,0.00042,0.00151
"15",0.7019,0.0032,0.1486,0.0308,0.0253731279264488,0.00078,0.0119,0.013,0.0466,0.0298,0.00161,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.00425,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.00039,0.00223123598468877,7e-05,0.00045,4.06779683892934e-05,0.000151796048690885,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000168897309980269,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.00025,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.00011,0.00015,0.000161491512128555,8e-05,4.56245340331142e-05,0.00152,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.00085,1.57383817817424e-05,4.91715963316719e-06,9e-05,7.50233335309583e-06,2.0593979538368e-06,4e-05,0.00041,2.90179979551658e-05,0.00017,1.46019066894046e-05,0.000406664083609514,0.0014
"16",0.709,0.0029,0.1494,0.0352,0.0253731279264488,8e-04,0.0128,0.0147,0.0339,0.0294,0.001,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.00372,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,3e-04,0.00223123598468877,1e-04,0.00042,4.06779683892934e-05,0.00016,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.00018,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.00017,0.000161032028990565,0.00023,0.00015,4.56245340331142e-05,0.00175,0,7.7594533604209e-06,7e-05,3.85497879214226e-06,3.48085293386087e-05,6e-05,0.00125,1.57383817817424e-05,4.91715963316719e-06,0.00011,7.50233335309583e-06,2.0593979538368e-06,8e-05,0.00051,2.90179979551658e-05,2e-04,1.46019066894046e-05,0.00037,0.00148
"17",0.696,0.003,0.1454,0.0303,0.0253731279264488,7e-04,0.0101,0.0133,0.045,0.0293,0.0019,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.003,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00223123598468877,6.67929492332913e-05,0.000364109943687264,4.06779683892934e-05,1e-04,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,1e-04,3.64525504759557e-05,2.14202297577599e-05,1e-04,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,1e-04,0.000161032028990565,0.000161491512128555,0.00015,4.56245340331142e-05,0.0014,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.00089,1.57383817817424e-05,4.91715963316719e-06,0.00014,7.50233335309583e-06,2.0593979538368e-06,3e-05,0.00038,2.90179979551658e-05,2e-04,1.46019066894046e-05,4e-04,0.00127
"18",0.6933,0.00308,0.1468,0.0301,0.0253731279264488,0.00075,0.0106,0.01324,0.0457,0.0299,0.00166,2.01981400053128e-06,7e-05,0.000234506504794098,0.00474,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00223123598468877,6.67929492332913e-05,0.00063,4.06779683892934e-05,0.00041,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000173,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,7e-05,0.000134,0.000161032028990565,0.00024,5e-05,4.56245340331142e-05,0.001561,0,7.7594533604209e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,4.25355780894433e-05,0.000907,1.57383817817424e-05,4.91715963316719e-06,0.00013,7.50233335309583e-06,2.0593979538368e-06,1.9e-05,0.00049,2.90179979551658e-05,0.00022,1.46019066894046e-05,5e-04,0.001405
"19",0.69574,0.00308,0.144,0.03012,0.02592,0.00076,0.01012,0.0134,0.04588,0.0295,0.00164,2.01981400053128e-06,2.4e-05,0.000234506504794098,0.003483,1.98e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000383,0.00223123598468877,9.1e-05,0.000293,4.06779683892934e-05,0.00013,2.59e-05,1.35e-05,7e-06,0.00495179750378303,0.000164,2.99e-05,2.14202297577599e-05,3.1e-05,3.3141185366294e-07,4.71e-06,0.000196,0.00054,1.96e-06,2.3e-05,0.000113,0.000155,0.000131,5.8e-05,4.19e-05,0.001401,0,7.7594533604209e-06,8.9e-05,8.9e-08,3.31e-05,5.7e-05,0.000799,1.3e-05,4.57e-06,5.8e-05,7.50233335309583e-06,1.92e-06,2.9e-05,0.000376,2.6e-05,0.000123,1.33e-05,0.000344,0.001275
"20",0.696,0.00327,0.1518,0.0317,0.0253731279264488,8e-04,0.01071,0.01423,0.0486,0.02908,0.00143,2.01981400053128e-06,1.8e-05,0.000234506504794098,0.003562,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00169,7.6e-05,0.000387,4.06779683892934e-05,0.000207,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000161,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.000139,0.000161032028990565,0.000159,8.1e-05,4.56245340331142e-05,0.0015,0,7.7594533604209e-06,7.7e-05,3.85497879214226e-06,3.48085293386087e-05,5e-05,0.000891,1.57383817817424e-05,4.91715963316719e-06,5e-05,7.50233335309583e-06,2.0593979538368e-06,0,0.000386,2.90179979551658e-05,0.000166,1.46019066894046e-05,0.000432,0.001396
"21",0.7052,0.00317,0.1524,0.03138,0.0253731279264488,0.00079,0.012,0.01391,0.043,0.02983,0.00176,2.01981400053128e-06,1.2e-05,0.000234506504794098,0.00361,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.00046,0.00223123598468877,7.4e-05,0.00026,4.06779683892934e-05,0.00014,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.00013,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.00013,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.00013,0.00018,0.00019,8.2e-05,4.56245340331142e-05,0.00143,0,2.3e-05,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,2.4e-05,0.00086,1.57383817817424e-05,4.91715963316719e-06,7.1e-05,7.50233335309583e-06,2.0593979538368e-06,3.5e-05,3e-04,1.2e-05,0.00016,1.46019066894046e-05,0.00043,0.00124
"22",0.7011,0.00305,0.1474,0.03,0.0253731279264488,0.000743262109734795,0.0106,0.01312,0.0445,0.03,0.00176,2.01981400053128e-06,4.65e-05,0.000234506504794098,0.00428,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000416009138922607,0.00223123598468877,6.28e-05,0.000281,4.06779683892934e-05,0.000166,2.64207873147345e-05,1.50233130767919e-05,7.37419238452415e-06,0.00495179750378303,0.000168897309980269,3.64525504759557e-05,2.14202297577599e-05,3.65159707629929e-05,3.3141185366294e-07,5.4579124061435e-06,0.000230762060908882,0.000511655535422664,2.14411393445741e-06,1.07326346744543e-05,0.000124577976783912,0.000161032028990565,0.000158,0.000122,4.56245340331142e-05,0.00149780724938274,0,8.3e-06,6.23775998473157e-05,3.85497879214226e-06,3.48085293386087e-05,6.49e-05,8e-04,1.57383817817424e-05,4.91715963316719e-06,7.71277683541254e-05,6.6e-06,2.0593979538368e-06,4.08e-05,0.000309,2.76e-05,0.000164962955536486,1.46019066894046e-05,0.000406664083609514,0.00136099651781104
"23",0.7053,0.003111,0.1398,0.02961,0.0253731279264488,0.000754,0.01028,0.01385,0.0465,0.02882,0.001853,2.01981400053128e-06,3.02442282479326e-05,0.000234506504794098,0.00352,1.53032879981617e-05,9.77259925281103e-06,2.40459424493807e-05,4.25823384985861e-06,0.000415,0.00223123598468877,7.8e-05,0.00047,4.06779683892934e-05,0.000156,2.78e-05,1.53e-05,6.8e-06,0.00495179750378303,0.00024,3.54e-05,2.14202297577599e-05,3.69e-05,3.3141185366294e-07,5.6e-06,0.000223,0.000511655535422664,2.2e-06,1.07326346744543e-05,0.000107,0.00017,0.00016,9.52802675141041e-05,4.7e-05,0.00137,0,7.7594533604209e-06,6.59e-05,3.85497879214226e-06,3.5e-05,4.25355780894433e-05,0.000861,1.13e-05,5.1e-06,6.8e-05,7.50233335309583e-06,2.2e-06,3.25e-05,0.000312,2.90179979551658e-05,0.000167,1.47e-05,0.00043,0.00132
