"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.729509426284184,0.002148488270181,0.10937758466376,0.0374032276126965,0.0318371328677304,0.00092775629848724,0.00078126846188399,0.0022461468279165,0.036133666362135,0.0460948392511559,0.00010211244261943,3.70713301542465e-07,2.22979767485165e-06,3.8086837516845e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00020312980008984,0.00011084107637596,7.51718000534147e-07,2.148488270181e-05,7.57999999942639e-07,3.70477448294536e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.0274152898005e-05,1.77356015808971e-05,1.50874442600625e-06,1.8555125969745e-05,3.92653180340227e-06,8.78927019619499e-05,1.64141314877376e-06,1.60234447717842e-06,1.69471385134237e-06,6.83609904148499e-05,8.59395308072399e-05,3.26253319336508e-06,2.8320981743295e-05,1.757854039239e-05,0.00016406637699564,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.8555125969745e-05,1.562536923768e-05,1.6601954815035e-05,5.35787930545236e-06,2.85921782086606e-06,3.0274152898005e-05,7.8602756084927e-07,1.71959515645805e-06,8.78927019619499e-06,3.7963392631662e-06,2.300872506554e-06,0.00011035417024111,1.0982177706803e-05,0.0001562536923768,0.00086916116384594,3.0840695552925e-09
0.7275411755718,0.00228505353518386,0.11117282199438,0.0417270645555314,0.0311959482629449,0.00089415138333281,0.00019870030740729,0.00198700307407292,0.0350706042573871,0.0444095187055298,0.00010211244261943,3.97400614814585e-08,3.63621562555345e-06,2.80167433444282e-05,1.18226682907339e-05,1.98700307407292e-07,5.06685783888595e-07,0.00020764182124062,9.83566521666096e-05,3.17920491851668e-07,2.17576836610985e-05,8.94151383332815e-07,3.70477448294536e-06,1.85784787425818e-05,1.09285169074011e-05,1.18226682907339e-06,0.00109285169074011,3.78524085610892e-05,1.79823778203599e-05,1.38096713648068e-06,2.26518350444313e-05,3.86472097907183e-06,9.93501537036461e-05,1.49025230555469e-06,1.57966744388797e-06,1.55979741314724e-06,8.16658263443971e-05,8.8719687257356e-05,3.26253319336508e-06,3.62628061018308e-05,2.34466362740605e-05,0.00019373279972211,6.23877189963411e-05,3.07985476481303e-07,8.9634381306018e-07,1.84791285888782e-05,1.2915519981474e-05,1.09285169074011e-05,6.30873476018153e-06,2.83147938055391e-06,2.22544344296167e-05,7.8602756084927e-07,1.74856270518417e-06,5.51393353055236e-06,3.7963392631662e-06,1.25181193666594e-06,0.00011226567368512,1.06304664462901e-05,0.00016492125514805,0.00085242431877728,2.03730430525795e-06
0.729536867817221,0.00216013608236593,0.108988684155736,0.0387842614788429,0.032402041235489,0.00092296723519271,0.00023565120898537,0.00206194807862203,0.0368205014039647,0.0446755417034772,0.00010211244261943,3.70713301542465e-07,1.37463205241468e-06,2.74926410482937e-05,1.08988684155736e-05,1.47282005615859e-07,1.96376007487812e-07,0.000201285407675,0.00011084107637596,1.96376007487812e-07,2.06194807862203e-05,6.77497225832951e-07,2.94564011231718e-06,2.03249167749885e-05,1.17825604492687e-05,1.27644404867078e-06,0.00098188003743906,3.2402041235489e-05,1.71829006551836e-05,1.47282005615859e-06,2.30741808798179e-05,4.22208416098796e-06,9.62242436690279e-05,1.37463205241468e-06,1.6691960636464e-06,1.5710080599025e-06,8.88601433882349e-05,8.64054432946373e-05,3.26253319336508e-06,3.73114414226843e-05,2.4056060917257e-05,0.00017477464666415,6.23877189963411e-05,2.55288809734156e-07,8.9634381306018e-07,1.91466607300617e-05,1.17825604492687e-05,1.12916204305492e-05,6.87316026207342e-06,3.04382811606109e-06,2.4056060917257e-05,7.26591227704904e-07,1.86557207113421e-06,5.89128022463436e-06,3.7963392631662e-06,9.8188003743906e-07,0.00011291620430549,1.12916204305492e-05,0.00015219140580305,0.00089351083406954,6.158008214463e-08
0.732355897523592,0.00225491106332565,0.108823968708325,0.0373530919620467,0.0318371328677304,0.00090196442533026,0.00063725747441811,0.00225491106332565,0.0353922997330679,0.0443139043749215,0.00010211244261943,3.70713301542465e-07,2.22979767485165e-06,2.64706950912142e-05,1.0098079979241e-05,3.11638575993757e-07,8.72552541895579e-07,0.00021470674907318,9.80396114489414e-05,2.8431487320193e-07,2.15687145187671e-05,7.57999999942639e-07,3.03922795491718e-06,1.666673394632e-05,9.80396114489415e-06,1.21569118196687e-06,0.00147059417173412,3.33334678926401e-05,2.15687145187671e-05,1.47059417173412e-06,2.05883184042777e-05,3.53922997330679e-06,0.00010196119590689,1.68628131692179e-06,1.55882982203817e-06,2.15687145187671e-06,6.56865396707908e-05,9.7059215334452e-05,1.56863378318306e-06,4.0196240694066e-05,2.54902989767248e-05,0.00017745169672258,4.0196240694066e-05,2.74510912057036e-07,3.62746562361083e-07,1.95098826783393e-05,6.17649552128331e-06,1.04902384250367e-05,4.70590134954919e-06,2.74510912057036e-06,2.45099028622354e-05,6.47061435563013e-07,1.58824170547285e-06,5.58825785258966e-06,8.72552541895579e-06,1.37255456028518e-06,8.33336697316002e-05,1.03921988135878e-05,0.00013921624825749,0.00094019987379534,2.52579845927414e-10
0.701723346506014,0.00211402609477996,0.106177436742327,0.0381762640269048,0.0318371328677304,0.00093321872652448,0.00023806600166441,0.00190452801331528,0.0695724083264071,0.0439755518274498,2.85679201997292e-05,3.70713301542465e-07,2.22979767485165e-06,2.19020721531257e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00018093016126495,0.00011084107637596,7.51718000534147e-07,1.69364139888922e-05,7.57999999942639e-07,3.70477448294536e-06,1.76168841231663e-05,9.99877206990521e-06,1.0474904073234e-06,0.00116770458204946,3.09655342817859e-05,1.76168841231663e-05,1.50874442600625e-06,2.37926052759237e-05,3.4281504239675e-06,8.61798926025163e-05,1.64141314877376e-06,1.38078280965358e-06,1.69471385134237e-06,7.6759956710361e-05,7.99901765592417e-05,3.26253319336508e-06,3.4281504239675e-05,2.14259401497969e-05,0.00016594606237987,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.66646201165087e-05,9.92397504473773e-06,8.09424405658993e-06,5.35787930545236e-06,2.85921782086606e-06,2.32926683258289e-05,7.8602756084927e-07,1.47600921031934e-06,5.27939626252731e-06,3.7963392631662e-06,2.300872506554e-06,4.95177283461972e-05,9.42741366591063e-06,0.00013331696093206,0.00088929390356639,6.72138562585189e-08
0.731326789339479,0.00235245091052672,0.109846661763507,0.0381904164554129,0.0318371328677304,0.00089649823265592,0.00032931167136913,0.00151580518920969,0.0361234093792179,0.0440961509588273,0.00010211244261943,3.70713301542465e-07,2.22979767485165e-06,2.71391318684809e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00016339198792779,0.00011084107637596,7.51718000534147e-07,1.69364139888922e-05,7.57999999942639e-07,3.70477448294536e-06,1.80124902354138e-05,1.12208955564873e-05,1.16146111900483e-06,0.00116770458204946,3.09655342817859e-05,1.92920660444869e-05,1.08271799229263e-06,2.37926052759237e-05,3.72061273715105e-06,9.45901809630202e-05,1.96857816780479e-06,1.6831343334731e-06,1.69471385134237e-06,7.6759956710361e-05,8.15578580007181e-05,3.26253319336508e-06,3.56426600807594e-05,1.98137392589552e-05,0.00015748625342438,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.83077769605845e-05,9.92397504473773e-06,1.37800471746335e-05,5.35787930545236e-06,3.25799686771693e-06,2.32926683258289e-05,7.8602756084927e-07,1.55517675256578e-06,5.27939626252731e-06,3.7963392631662e-06,2.300872506554e-06,9.48258530550232e-05,1.12208955564873e-05,0.00014926326185039,0.00088929390356639,1.51405718740172e-07
0.727829555153995,0.0011,0.1,0.0395,0.0318371328677304,0.00082,2e-04,0.0015,0.037,0.042,0.00010211244261943,2e-07,2.22979767485165e-06,2.5e-05,9.01267091514988e-06,3.11638575993757e-07,5e-07,0.00019919378307079,0.00011084107637596,2.1e-06,1e-05,7.57999999942639e-07,2e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.09655342817859e-05,1.77356015808971e-05,1.50874442600625e-06,2.37926052759237e-05,3.92653180340227e-06,9.32261548183024e-05,1e-06,1.60234447717842e-06,6e-07,7.6759956710361e-05,8.15578580007181e-05,7e-06,3.7e-05,2.03602499615167e-05,1e-04,6.23877189963411e-05,3.10187872512093e-07,6.4e-07,1.80872682707111e-05,9.92397504473773e-06,1e-05,5.35787930545236e-06,2.85921782086606e-06,2.32926683258289e-05,7.8602756084927e-07,1.71959515645805e-06,5.27939626252731e-06,4.5e-06,2.300872506554e-06,4.2e-05,1.0982177706803e-05,0.00018,0.00073,0.014943593649181
0.729570716561308,0.00203422869515343,0.110064547757094,0.0375398725385802,0.0322331889860061,0.00092375602581846,9.82719176402624e-05,0.00196543835280525,0.0351813465152139,0.0466791608791246,0.00019654383528052,3.70713301542465e-07,2.22979767485165e-06,2.71391318684809e-05,1.03185513522276e-05,3.11638575993757e-07,4.12566601991004e-07,0.00022307725304339,0.00011084107637596,7.51718000534147e-07,1.67062259988446e-05,7.57999999942639e-07,4.42223629381181e-06,1.65096821635641e-05,9.9254636816665e-06,1.12029986109899e-06,0.00116770458204946,3.04642944684813e-05,1.66079540812043e-05,1.50874442600625e-06,2.37926052759237e-05,4.12742054089102e-06,0.00010613367105148,1.64141314877376e-06,1.35615246343562e-06,1.67062259988446e-06,6.87903423481837e-05,9.43410409346519e-05,3.26253319336508e-06,3.9308767056105e-05,2.22094533866993e-05,0.00016214866410643,6.23877189963411e-05,3.10187872512093e-07,8.9634381306018e-07,1.95561116104122e-05,1.18909020344718e-05,1.47407876460394e-05,5.35787930545236e-06,3.16435574801645e-06,1.5723506822442e-05,7.8602756084927e-07,1.47407876460394e-06,2.55506985864682e-06,3.7963392631662e-06,2.300872506554e-06,0.00010416823269867,1.07116390227886e-05,0.00013954612304917,0.00093161777922968,1.88734130546209e-07
0.729704629728096,0.00218444711580053,0.109917407145054,0.0379299453743547,0.0318371328677304,0.00089363745646385,0.00032931167136913,0.0016879818622095,0.036142670461427,0.0456748033303748,0.00010211244261943,1.78727491292771e-06,2.22979767485165e-06,2.40289182738059e-05,9.65128452980963e-06,3.11638575993757e-07,2.75041750489431e-07,0.00017465647621332,0.00011084107637596,2.58161931867336e-07,1.38017340498306e-05,6.5533413474016e-07,1.88656796364591e-06,1.80216887053544e-05,1.08328718333563e-05,1.03264772746934e-06,0.00116770458204946,3.2270241483417e-05,1.60159690808466e-05,1.6879818622095e-06,2.3800544257154e-05,3.67582873758799e-06,8.16586049106526e-05,1.38017340498306e-06,1.47648766417972e-06,2.78020542010977e-07,7.27023717358704e-05,7.58598907487094e-05,3.26253319336508e-06,3.53483260556814e-05,2.10004802269006e-05,0.00017098263333675,6.23877189963411e-05,2.48232626795515e-07,8.9634381306018e-07,1.62542724025703e-05,1.15179938833119e-05,1.15179938833119e-05,5.66168975195211e-06,2.86559744372743e-06,2.08813285660387e-05,4.93486462069484e-07,1.60457569960621e-06,5.53360171652562e-06,3.7963392631662e-06,3.2766706737008e-06,0.00011259831951444,1.04356996304835e-05,0.00015062755793951,0.00095440480350339,0.00014114596258441
0.732837202472974,0.00215281325335899,0.109402055329788,0.0365978253071027,0.0318371328677304,0.00091005287528357,9.78551478799539e-05,0.00215281325335899,0.0358149841240631,0.0444262371374991,0.00025442338448788,3.70713301542465e-07,2.22979767485165e-06,3.52278532367834e-05,9.01267091514988e-06,3.11638575993757e-07,4.12566601991004e-07,0.00023093814899669,0.00011084107637596,9.78551478799539e-07,1.85924780971912e-05,7.57999999942639e-07,3.70477448294536e-06,1.79800770896948e-05,1.10782892841579e-05,1.11860527291452e-06,0.00116770458204946,3.03350958427857e-05,1.77356015808971e-05,1.50874442600625e-06,2.37926052759237e-05,3.92653180340227e-06,9.32261548183024e-05,1.64141314877376e-06,1.60234447717842e-06,1.69471385134237e-06,7.82841183039631e-05,8.15578580007181e-05,5.87130887279723e-06,3.32707502791843e-05,2.03602499615167e-05,0.00016733230287472,6.23877189963411e-05,3.10187872512093e-07,3.91420591519816e-06,1.80872682707111e-05,9.92397504473773e-06,1.07640662667949e-05,5.35787930545236e-06,2.85921782086606e-06,2.25066840123894e-05,7.8602756084927e-07,1.71959515645805e-06,5.28417798551751e-06,5.87130887279723e-06,2.300872506554e-06,0.00011351197154074,1.0982177706803e-05,0.00013504010407433,0.00093158100781716,1.67827945984911e-08
