"","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","O","Ag","Ba","Cu","Rb","Zr","Sr","Li","Ce","Zn","V","NA","name"
"13",0.225875643229602,0.00371774561631313,0.0690961046491342,0.0995087074170375,0.00102727023613145,0.00965139883669761,0.0204776780402101,0.0780731115181356,0.0621006128065837,0.00114721880711272,0.421736646042918,0.000326520072877607,0.000241298327402008,0.000204634885710217,0.000184983668059979,0.0001432466349838,0.000137992651392493,0.00011919138533679,0.000109841925968475,9.79247257557855e-05,9.29751791975521e-05,0.0059292533434393,"GeoPT32 .csv"
"14",0.316400819289377,0.00209861001101423,0.0793439081591612,0.0378162929727361,0.00104513770732562,0.00447013389869169,0.011991301752447,0.0326382080666075,0.0233256887280808,0.000807561931797998,0.474701259427645,0.00043982309591449,0.000373124570936637,0.000361907976657261,0.000246823388231705,0.000160723755589107,0.000155216570801268,0.000120042174685336,8.89076471494164e-05,8.70689518119284e-05,6.3288255513922e-05,0.0132641516678251,"GeoPT34 .csv"
"15",0.264778003688492,0.00377101560608591,0.0839577769984256,0.0643345482472996,0.000871786645508733,0.00947178025120927,0.0187435476739307,0.053161017864437,0.037804720664945,0.000546580672402242,0.448929050797213,0.000711179458619995,0.000275411883962684,0.000197235481308429,0.000147276789821993,0.000137793713021787,9.35496292817964e-05,8.70664274469736e-05,5.93764384481984e-05,4.64860048011094e-05,2.76639909763516e-05,0.0118471310723615,"GeoPT35 .csv"
"16",0.199529420979556,0.0010116346884215,0.0955389323978009,0.104834830026688,0.00105581177641921,0.0074016575057083,0.0128291795348855,0.0871292451876163,0.0521061531027706,0.000718880301897859,0.41061277674072,0.000509774011106548,0.000364189037365262,0.000360215533728713,0.000189280084635803,0.000146322436190104,8.32275668037679e-05,7.9221901631822e-05,7.88124501586405e-05,3.60572844303504e-05,3.43919544034095e-05,0.0253499854970615,"GeoPT36 .csv"
"17",0.344376303698275,0.00140766699402398,0.0632348213846251,0.0325441723990037,0.000423214774872262,0.0027924455329229,0.00790522364013401,0.0298072887075626,0.01613679238405,0.000263719011047916,0.483146910585993,0.000350602813615925,0.000233913154249477,0.000232612647581368,6.93390740458522e-05,6.86986888806989e-05,6.31922870544519e-05,6.04819011967408e-05,5.92805604047727e-05,5.07618046446838e-05,4.92945378735029e-05,0.0167232634179415,"GeoPT37 .csv"
"18",0.228035942152494,0.00510858525985904,0.0844272271671156,0.0930085033007412,0.00110127587649177,0.00737055488789505,0.021492284459959,0.0698929997288744,0.0445685235461547,0.000878559837114779,0.428694884481192,0.000375057472914102,0.000343480570275687,0.000269512447298186,0.000235588728265798,0.000154450307427802,0.000108666365515744,0.000103628626715985,9.18010941947608e-05,6.94937221575955e-05,6.08337312231924e-05,0.0136081462361198,"GeoPT38 .csv"
"19",0.200043515676567,0.000565139085238592,0.213625533853641,0.04914884279894,0.000170378147090621,0.00134386264461291,0.00164642096244165,0.062490665477968,0.0037805276377471,0.000160768028427455,0.463895009718477,0.000132257978562158,9.0851894674524e-05,7.58265841233978e-05,6.90602039745681e-05,6.86159940173882e-05,6.26432808429296e-05,5.61419257845008e-05,2.91736600328508e-05,8.94113409118561e-06,6.8688919060817e-06,0.00252895442083889,"GeoPT38A.csv"
"20",0.255359789479562,0.00376531312764174,0.069077383434052,0.072965172087419,0.003241629987743,0.0104606134594586,0.0216201582853018,0.0769704654079226,0.0263117005269375,0.00300063759906833,0.440265494813991,0.00106731067161277,0.00086157644631324,0.000715998964908919,0.000614763701428831,0.000451607810745208,0.00039086643822238,0.000366285426138581,0.000262398587846656,0.000218368021060925,0.000211112250367721,0.0118013534722569,"GeoPT39 .csv"
"21",0.240607536395808,0.00169065917888679,0.117205029469623,0.0652245748990096,0.00129420649296338,0.00240074708969922,0.00675724281954697,0.0685544437210186,0.022026941454723,0.000881015855882684,0.442326855090462,0.00149674508770171,0.00138513489548172,0.000552885673322201,0.000546960419337907,0.000421326528200038,0.000380120643593263,0.000283214727881694,0.00019858416651709,0.000161190382048572,0.000110607557344103,0.0254939774509475,"GeoPT39A.csv"
"22",0.221431043807566,0.00435219886988713,0.0682880489348327,0.0948421246013022,0.00122537750241082,0.0133620650475239,0.0160134514554032,0.090982649786207,0.0645274727146239,0.00122389159498705,0.42044754028751,0.000439555585757699,0.0003757736406494,0.000326733418455748,0.000318264006932678,0.000311819578348921,0.000185772568169872,0.000106944628170116,8.22764725380463e-05,5.82551027328561e-05,5.63871077196257e-05,0.00104235328827063,"GeoPT4.csv"
"23",0.273373906956743,0.00383541758665016,0.0885750416587127,0.063700738401881,0.000729204486694381,0.00717831766327189,0.021251412784299,0.0436679267413138,0.0337704319914194,0.000731667525289135,0.45818319200781,0.000520339368215477,0.000311890383147163,0.000287814604339395,0.000139227785016111,0.000104490589781973,8.09259669941224e-05,6.25848092238687e-05,5.89232148334674e-05,3.7773671560568e-05,3.13465887172408e-05,0.00336742521408606,"GeoPT41 .csv"
"24",0.220844120020361,0.00448468182056437,0.0678576035963342,0.0948392904335221,0.00122543680948949,0.0131845245409226,0.0159331269485375,0.0913158743300399,0.0630115181080406,0.00127564784342231,0.419262941731652,0.000491953360592238,0.000346058252876975,0.000315564773406729,0.000308645048851311,0.000224615666665989,0.000185235423231742,0.000122676686876055,0.00010629976585518,8.47071382367745e-05,5.98138279467148e-05,0.00451966387257408,"GeoPT43.csv"
"25",0.316803355957045,0.00231063074118189,0.0799158970967096,0.0380582800726792,0.000539896009778564,0.00697958866785099,0.0110054093207521,0.0371667610337173,0.0217497006131269,0.000903853992994592,0.478492105658734,0.000481676611581202,0.000455314746175059,0.000435038193084509,0.000375898517584154,0.000262070162725385,0.000258685408095523,0.000159457404140441,0.00014062216599995,9.74935924218691e-05,8.6840667868666e-05,0.00332142336575303,"GeoPT46 .csv"
"26",0.263905692974873,0.00501757402997954,0.1001779665615,0.0576774286684774,0.00106574447784934,0.00652161408015256,0.0198489028882943,0.0477077527935231,0.0304830273998394,0.00256124198530806,0.458617593159389,0.00128168809056787,0.00105301513957713,0.00047123225112054,0.000181699337916963,0.000134405961395062,0.000118405940335436,0.00010524221430515,9.29673037512483e-05,7.15814112763461e-05,6.74607052650774e-05,0.00283776262530255,"GeoPT48 .csv"
"27",0.272156978790644,0.00392425619459304,0.0894299609561321,0.0658021624966473,0.000717287748356635,0.00735126928010038,0.0216808328043965,0.04378930783393,0.0322395124983157,0.000728725939505981,0.458564142791031,0.000522283761053959,0.000309885034396887,0.000283739866966539,0.000140036896887443,9.97715736020805e-05,6.25881099142871e-05,4.46369926214957e-05,3.72597245779258e-05,3.24500709616902e-05,3.11865589088448e-05,0.00205172407645604,"GeoPT5.csv"
"28",0.340260313394927,0.000558980177447991,0.0580814938709099,0.0486968476195644,0.000688669191555182,0.00111818669771241,0.00154434094019798,0.0319299830423287,0.0309127465031685,0.000391231824546366,0.480258109784008,0.000329311667846678,0.000199193780940124,0.000165946060604847,0.000149263260253797,0.000110841075190358,0.000102112441527194,9.48258520407246e-05,9.3226153821119e-05,8.15578571283383e-05,7.67599558893043e-05,0.00415605884839099,"GeoPT6.csv"
"29",0.287314684190117,0.00357151681553572,0.0762450165737631,0.0549536326112376,0.00104564766936736,0.0137103948197157,0.0187403396765075,0.0425550293159061,0.036187902896154,0.000745621264894587,0.46256445415327,0.000357921203977679,0.000223691838421539,0.000208308637153266,0.00018626055154695,9.98188325513954e-05,9.49762279209589e-05,8.39856280547421e-05,8.07954414964739e-05,6.77835722496584e-05,5.20186671504035e-05,0.000910199413008295,"GeoPT8.csv"
