"","Ag","Al2O3","As","Ba","Be","CaO","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","Fe(II)O","Fe2O3T","Ga","Gd","Ge","Hf","Ho","K2O","La","Li","Lu","MgO","MnO","Mo","Na2O","Nb","Nd","Ni","P2O5","Pb","Pr","Rb","Sb","Sc","SiO2","Sm","Sn","Sr","Ta","Tb","Th","TiO2","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","name"
"11",2.42898787944451e-07,0.0761612549226081,8.93172800577829e-07,8.14928121099792e-06,1.24562209520749e-07,0.075354119784818,1.46362119687456e-07,1.5644725286596e-06,8.32317249348655e-05,0.00232113323651965,1.85885835829656e-07,4.04829249528703e-05,1.56834900649288e-06,1.04658980369868e-06,3.04378793490776e-07,0.0836283755110603,0.114466568174401,8.31972655983156e-06,1.19243394972354e-06,1.19232086711618e-06,5.8464232576653e-07,3.65515171842656e-07,0.000472462923154308,6.36840765900934e-07,5.36988753168584e-06,1.61631958397243e-07,0.207327660833293,0.00170961269070658,3.51489072470186e-07,0.010054460224499,4.96828680786847e-07,1.60367796587161e-06,0.000821065769396051,0.000272493623168909,8.37597126600009e-07,2.45028335033129e-07,1.15152310504354e-06,3.60726761393333e-07,2.6888871754017e-05,0.42325817425197,8.01701897674651e-07,7.72988303653374e-07,1.5665330129856e-05,4.37977549169644e-08,2.32932236730992e-07,7.46388109993112e-08,0.0036989372347086,1.73348918297207e-08,1.58343286166759e-07,1.55643529560035e-08,0.000165757711747356,1.43065405964414e-07,8.92532987678666e-06,1.02627869995328e-06,5.65248077682016e-05,1.58216496174485e-05,"GeoPT29.csv"
"12",2.87866957603874e-07,0.139310812423794,2.63216394337966e-06,0.000338248920719864,8.44465965994874e-06,0.011382429363604,2.44627262138623e-07,5.97844548197444e-05,3.02114615534887e-06,0.000183185835598398,1.68408774432688e-05,7.170422642548e-06,4.15013023316572e-06,2.23934485322272e-06,5.62672660722106e-07,0.0185217236396764,0.0242333726539445,2.2604570062383e-05,4.72558786352791e-06,1.13472580976805e-06,4.42244614993204e-06,8.11678050905852e-07,0.0456358732939276,2.88313572791521e-05,0.000120059308246977,3.26787744711202e-07,0.00370896355807808,0.000619237963719701,3.01315703347123e-06,0.0356943271791758,1.51667301751706e-05,2.54051061408289e-05,5.30406793371383e-06,0.0012108583377729,2.52387691385247e-05,6.83580258304555e-06,0.000264586017711519,2.88112388982942e-07,4.35062019231178e-06,0.71515223028183,5.28243399863688e-06,1.14146510374282e-05,0.000111338523354974,2.47869755566903e-06,7.54924164057613e-07,1.85350035240181e-05,0.00294974612084653,1.59909779261887e-06,3.35961338927538e-07,5.1934366099624e-06,1.38994883976052e-05,7.99912381044258e-07,2.42993704579846e-05,2.18117507483154e-06,5.43969586959062e-05,0.000167997581792561,"GeoPT3.csv"
"13",3.76551808648983e-07,0.13545622454325,2.48271890935405e-06,0.000717448267357965,2.72569451807122e-06,0.0517297324338403,3.09042146772258e-07,9.88832649970973e-05,3.34810030842441e-05,0.000209370323095699,1.31809949144708e-06,3.11732795256557e-05,4.38161955065621e-06,1.81777151595153e-06,2.4554543368981e-06,0.0606749120473285,0.0916783884996983,2.1111957023578e-05,7.01347584204268e-06,1.30593506569458e-06,6.09888311493199e-06,7.66070066194154e-07,0.0381147157793898,5.2558197037629e-05,1.12999778759004e-05,1.7440616031473e-07,0.0586525197548682,0.00123666385164539,4.61554948111548e-06,0.0411497439829879,4.60790280236948e-05,4.3662351318792e-05,0.000148543415431146,0.00794755138367624,7.88736794881509e-06,1.11712264557976e-05,5.94486377765768e-05,3.63597635382888e-07,8.95766186312811e-06,0.490433905899632,8.15028074931687e-06,2.58617707559079e-06,0.00087139371640633,2.82285750431899e-06,8.83841087774954e-07,6.23008806197699e-06,0.0199966393163383,1.43258818294089e-07,2.14696494595319e-07,1.67976029238535e-06,0.000100605275578025,1.54958092049183e-06,1.96346265409296e-05,1.3998426623186e-06,0.000107039017104127,0.000267388659588939,"GeoPT32.csv"
"14",3.08152517577775e-07,0.125472934665295,3.38273055785181e-06,1.11379871810992e-05,4.30492333441479e-05,0.00313767252165037,2.29029470084833e-07,6.7994186351095e-06,5.87799883201327e-07,1.44397240324032e-05,0.000423009642253268,2.72998666796665e-06,1.45207282266999e-06,2.80331183801519e-07,4.75473163719809e-08,0.00652615343985164,0.00771709712980588,5.32875929186154e-05,2.34051283438727e-06,3.72720996832411e-06,1.23594661306367e-06,1.52639276503092e-07,0.0139655579895348,2.57258184712685e-06,0.000570769700541927,3.4532687761072e-08,0.00120445457052877,0.00103314886404677,5.59765377672117e-07,0.0412254493737445,0.000142707026608151,5.09673875829698e-06,3.53079781646332e-06,0.000300629451634416,7.1863683797179e-06,1.26410561258987e-06,0.00181839511974317,8.0731139284989e-06,3.0621268263204e-06,0.795349316867516,2.82368480616849e-06,0.000118193380679637,2.05123195525885e-05,0.000113713737227021,4.14565815244184e-07,5.11496668364688e-06,0.000605795967833677,1.24680452818302e-05,3.99661880647187e-08,4.02990722635984e-06,2.61893292208385e-06,5.63137966563484e-06,1.0862789789631e-05,2.94044186353327e-07,2.79836615004616e-05,5.63824142990202e-06,"GeoPT34.csv"
"15",5.85311469680102e-07,0.113076096481591,1.67126441898975e-06,0.000506873561749911,1.52058720580293e-06,0.0721277074742918,2.9788389041989e-07,8.39012374024855e-05,3.37657225823003e-05,1.18891721378749e-05,4.27456615460683e-07,0.000145434703701901,7.2478719175314e-06,3.73812741950165e-06,3.00704516742144e-06,0.0908668882182918,0.142570942198196,2.2327665885836e-05,8.54204064854032e-06,1.25651395975732e-06,7.01904882130399e-06,1.35172119296649e-06,0.014051917858107,3.58131673389174e-05,5.79775418066829e-06,4.5534429186504e-07,0.0326007134627218,0.00194767456233455,1.69247152685363e-06,0.0242742251260421,2.59082845282523e-05,4.56374876628444e-05,2.01053304742186e-05,0.00559252138027589,5.63206158725885e-06,1.05056681923519e-05,3.22442691633924e-05,1.58350829949502e-07,2.52346127859749e-05,0.465425312738012,1.02901418442592e-05,2.48325188314207e-06,0.000439000034999463,1.7511646616518e-06,1.34527171883627e-06,4.07868422669589e-06,0.0351511099845355,1.306645027413e-07,4.77415968062123e-07,9.90720801316664e-07,0.00035695381287501,8.576182959309e-07,3.67885843031665e-05,3.22311530534699e-06,0.000130273657662966,0.000276204637801725,"GeoPT35.csv"
"16",2.60040741928406e-07,0.0962765894108928,2.16060970479914e-06,0.000696638187430193,2.14304249490946e-06,0.123893798346542,1.47496169131862e-07,0.000117100437115839,5.94070453101002e-05,0.000408372230037833,5.9088103661947e-07,5.22485983188556e-05,6.53598184959539e-06,2.51590975420157e-06,3.63288638440064e-06,0.0717808055370742,0.12348892536104,1.91059746389172e-05,9.90090036941965e-06,9.78276874209461e-07,6.42505954103139e-06,1.07367046477257e-06,0.012088021406627,5.81981320614131e-05,1.57263100331397e-05,2.20968493648654e-07,0.12836211931085,0.00199348503395817,9.01233164337815e-07,0.0329454910660433,7.98667757154681e-05,5.38880962137342e-05,0.000288270517473112,0.00896145746467758,3.2690374033053e-06,1.39298912689052e-05,2.98729697559649e-05,1.38001526304047e-07,2.12956365780268e-05,0.359729806416829,1.11824711263409e-05,2.03138436465297e-06,0.00110998963694985,4.66838534774801e-06,1.3184761239516e-06,7.13842177778284e-06,0.0366925303832488,1.79665852623682e-08,2.96229886352893e-07,2.39839797894702e-06,0.000277958779603773,7.55996000046034e-07,2.78449525919724e-05,1.59816734287984e-06,0.000110567133076737,0.000274389065537253,"GeoPT36.csv"
"17",3.55259249549952e-07,0.13075689367193,1.98150450478086e-06,0.000206242705257751,1.03216697076455e-06,0.0777610153997338,1.9925932679519e-07,3.0298459908367e-05,4.06124093253068e-05,0.000184235159525377,7.65159734274298e-07,5.11264619247097e-05,3.89084661294979e-06,1.84640976798926e-06,1.45286704669929e-06,0.0755380678834492,0.106021929705091,1.75915450450128e-05,4.18082085631889e-06,1.48280392652862e-06,3.16521187326461e-06,7.05443262550856e-07,0.00784470281325435,1.52579222282023e-05,6.71410677387645e-06,2.13030069911498e-07,0.0653967557165334,0.00133127014361384,1.69438835214331e-06,0.0287473741252382,1.64186272280869e-05,1.69682541274327e-05,0.000138725051471616,0.00264782648934688,3.42456664695736e-06,3.81247658103879e-06,2.09255168515443e-05,1.67832803987128e-07,1.807585220654e-05,0.486332400585038,4.1014014328457e-06,1.65962393379213e-06,0.000329463241875274,2.42655903019725e-06,7.35563428447651e-07,2.43634606303599e-06,0.0161050554025212,7.04687784464823e-08,2.54193292430929e-07,7.11196614016027e-07,0.000145057295444356,7.91849245245132e-07,1.98868226262461e-05,1.56417687491458e-06,9.33605237991973e-05,0.000120626682351468,"GeoPT37.csv"
"18",4.70764475654668e-07,0.15112900335269,1.12233488459094e-06,0.00187405108106387,3.42945425942251e-06,0.0179601307524644,1.27239506179189e-07,0.000157149156417924,5.02644496750728e-06,2.05048335558069e-05,1.81480967161912e-06,1.44245822853648e-05,2.17325307927153e-06,9.20645446742078e-07,1.45718881558942e-06,0.0170320396547762,0.0284783087330086,2.3352295162401e-05,4.75144157869116e-06,9.10655510113995e-07,6.13661084769641e-06,3.60030743336869e-07,0.0445811112146674,8.79018865186361e-05,3.16557942652094e-05,9.92785794978851e-08,0.00752937629736335,0.000364578037925174,2.22932817798424e-06,0.0367544471689193,1.24764634508559e-05,5.28540079800995e-05,6.63541381284182e-06,0.00137615987346122,3.0436090885883e-05,1.66646276139953e-05,0.000163179540326807,2.50284076733536e-07,3.40911075198871e-06,0.686966954840392,7.34920631772912e-06,2.57376724218514e-06,0.000446154581622404,1.06152090346649e-06,4.94745119519998e-07,2.39115659840846e-05,0.00443139856649665,7.33298379814765e-07,1.14411008549361e-07,2.21225558082378e-06,3.60333831086343e-05,5.28605652768298e-07,9.81777695252281e-06,7.09314777530708e-07,9.04868893226559e-05,0.000248335537151449,"GeoPT38.csv"
"19",1.36627953447569e-07,0.160007483026852,3.99593331153547e-06,0.00072091084850848,8.68335699241129e-07,0.0619900641634152,1.76187741019547e-07,2.8057027526111e-05,1.93590083545339e-05,1.55904186588166e-05,2.99384931476017e-06,2.07256109028733e-05,3.98503013620302e-06,2.35296408160863e-06,9.8382258657408e-07,0.0461641659062516,0.0725795639518445,1.85528050618605e-05,4.05538816659475e-06,1.03263552411067e-06,2.95436267291712e-06,8.14372590894773e-07,0.0159023162841986,1.24463250486909e-05,2.13683968861493e-05,3.38751788255308e-07,0.0309913907107099,0.00114009328347644,9.05874106015163e-07,0.0264787621231175,5.32596569719123e-06,1.65364620479234e-05,6.7804905461455e-06,0.00126931167477846,1.57003727376632e-05,3.64644992199498e-06,6.0188833585477e-05,1.77507721082393e-06,1.94294910264413e-05,0.573853049877723,3.77855026398012e-06,2.94927665799744e-06,0.000279003483700454,4.8429206520822e-07,6.34718979801266e-07,3.87254902843016e-06,0.00797123099906689,3.48768679005151e-07,3.69666363925858e-07,1.40608735780225e-06,0.000139495460083852,6.73998646019247e-07,2.31423429255484e-05,2.21140307911673e-06,8.80542681773117e-05,9.41554131630317e-05,"GeoPT38A.csv"
"20",3.34442157978808e-07,0.185496933486063,2.70391988801663e-06,8.16583858250179e-05,2.41085033296875e-07,0.114892453104705,2.27212556259405e-07,5.4285689027796e-06,3.72914206115345e-05,9.88940972102573e-06,9.71011537449739e-07,8.62646709861146e-05,1.51855495745852e-06,9.38091363197569e-07,5.24276438305337e-07,0.0647837473183217,0.120484203883903,1.95997907154735e-05,1.39551655780425e-06,8.20658894578526e-07,8.4556544948263e-07,3.19390123218486e-07,0.00171576810652401,2.82237590372386e-06,6.87999513375808e-06,1.28561973569023e-07,0.0386581427548342,0.00139757149159728,4.65020958581986e-07,0.0185499642048306,1.16939695706737e-06,3.88571347517192e-06,1.2738014481443e-05,0.000376856806586693,1.00607971705297e-05,7.40824442814047e-07,5.0517247907648e-06,1.99236405051557e-06,3.53425607706541e-05,0.439694079702326,1.13695808513488e-06,1.59653393072988e-06,0.000373077591928424,1.40293158991264e-07,2.35698789271758e-07,6.44996440940106e-07,0.0126013614498532,4.48767862584539e-08,1.3281154886143e-07,2.33263821079263e-07,0.000521817225266104,5.04825993287773e-07,9.09979754060162e-06,8.40632343391184e-07,8.09133513748254e-05,2.62495116196519e-05,"GeoPT39.csv"
"21",2.17658155651039e-07,0.121464289726833,1.49700271451966e-06,0.000356589472500914,1.34904790526228e-06,0.0112608761499549,2.25195900474157e-07,6.04646515397475e-05,3.28400836876266e-06,6.48108058771682e-05,7.13480101063599e-07,1.21093986038513e-05,1.1532589360866e-05,7.48346780041304e-06,1.31662412914682e-06,0.0182318376509335,0.0292382908713271,1.60915396894981e-05,1.00523730373455e-05,1.46156228935189e-06,7.39489123176533e-06,2.49781578841566e-06,0.0196844338255574,2.64742272715621e-05,5.9265327535485e-06,1.18095605383709e-06,0.00472944213515767,0.000618548983811688,4.20833612080048e-06,0.0406039579470604,1.14063488202447e-05,3.5197664843796e-05,6.24975211099594e-06,0.000558032304210103,6.23894635715827e-06,7.85804610660452e-06,5.01750771548157e-05,5.23121592451828e-07,7.09680190533168e-06,0.749423337461556,8.81047691509487e-06,3.70735767318426e-06,6.98370882709912e-05,1.12464329964814e-06,1.82752268101712e-06,4.85439823880655e-06,0.00299363028864325,1.66115510889736e-07,1.19353922817297e-06,1.36410227197861e-06,1.07685464725468e-05,1.25680656961214e-06,7.06822193992632e-05,7.63076289959669e-06,5.16745202263351e-05,0.000236797159212672,"GeoPT39A.csv"
"22",1.72700622651958e-07,0.161502825152221,7.15665578160078e-07,0.000378864455141335,8.44696471398058e-07,0.0868030145269789,1.83538599415564e-07,3.57650707322939e-05,3.24121027610487e-05,0.000155478422671381,3.96876638031544e-07,9.30640513028638e-05,4.28243117384847e-06,2.47442379212463e-06,1.4574417806126e-06,0.0545057076235734,0.0948411804063223,2.18714845148386e-05,4.62731891230192e-06,1.08173163146344e-06,3.02011095937616e-06,8.81915352820189e-07,0.0108093364373039,1.71880519623644e-05,7.72660224855084e-06,3.35484581148917e-07,0.0476899993870896,0.00144212852314655,5.16240462500966e-07,0.0305364180786167,6.00140319976786e-06,2.07109815672064e-05,6.19864662329428e-05,0.00205991424017392,6.31657815994239e-06,4.712080756807e-06,2.59052540579044e-05,1.91138679220439e-07,2.81948309658093e-05,0.495756595858824,4.42427933405994e-06,1.24515060946529e-06,0.00034777934828505,4.86455389821148e-07,7.35138213041587e-07,1.97609630335271e-06,0.0123340959617803,1.37104820082843e-07,3.46717823340704e-07,4.4032793047186e-07,0.000238539298283058,9.93861080923245e-07,2.29968485841076e-05,2.12287677585382e-06,7.03475077250051e-05,0.000108833241301956,"GeoPT4.csv"
